dataset,seed,metric,mean,ci_low,ci_high
wget,0,f1,0.8851674948545372,0.7796139359698682,0.9666666666666667
wget,0,fpr,0.0512133221763108,0.0,0.36363636363636365
wget,0,auc,0.9118940897579516,0.8111924358974361,0.9823717948717948
wget,0,f1_minus_magic,-0.0536325051454628,-0.15918606403013177,0.027866666666666706
wget,0,fpr_minus_magic,0.0112133221763108,-0.04,0.32363636363636367
wget,1,f1,0.8478765526575717,0.7407407407407407,0.9375318877551019
wget,1,fpr,0.16146325200616315,0.0,0.44458333333333255
wget,1,auc,0.8812974502969032,0.7740056818181819,0.9666789819376026
wget,1,f1_minus_magic,-0.09092344734242841,-0.19805925925925927,-0.0012681122448981
wget,1,fpr_minus_magic,0.12146325200616313,-0.04,0.4045833333333326
wget,2,f1,0.8158011979801646,0.6999603174603174,0.918918918918919
wget,2,fpr,0.15935051327242566,0.0,0.8095982142857139
wget,2,auc,0.8151956135956582,0.6766629720853858,0.9261127163066819
wget,2,f1_minus_magic,-0.12299880201983535,-0.23883968253968255,-0.019881081081080998
wget,2,fpr_minus_magic,0.11935051327242564,-0.04,0.7695982142857138
wget,3,f1,0.869968244951503,0.7727272727272727,0.9545454545454546
wget,3,fpr,0.13886730909268896,0.0,0.4819444444444419
wget,3,auc,0.9045619672486053,0.8083220443349753,0.975
wget,3,f1_minus_magic,-0.06883175504849685,-0.16607272727272726,0.015745454545454618
wget,3,fpr_minus_magic,0.09886730909268897,-0.04,0.4419444444444419
wget,4,f1,0.8212651693751084,0.7169137466307277,0.9090909090909091
wget,4,fpr,0.29071634513205896,0.0,0.6666666666666666
wget,4,auc,0.8454286517204855,0.7249169496321448,0.9458128078817734
wget,4,f1_minus_magic,-0.11753483062489152,-0.22188625336927226,-0.029709090909090907
wget,4,fpr_minus_magic,0.250716345132059,-0.04,0.6266666666666666
wget,all,f1,0.848015731963777,0.7272727272727273,0.95
wget,all,fpr,0.1603221483359295,0.0,0.6470588235294118
wget,all,auc,0.8716755545239208,0.72413513210927,0.9700110837438422
wget,all,f1_minus_magic,-0.09078426803622297,-0.21152727272727267,0.011199999999999988
wget,all,fpr_minus_magic,0.1203221483359295,-0.04,0.6070588235294118
