auc,precision,recall,f1,fpr,threshold,tp,fp,tn,fn,threshold_method,quantile,dataset,seed,pooling
0.9984999999999999,0.970873786407767,1.0,0.9852216748768473,0.03,0.08441186360137609,100,3,97,0,label-tuned,,streamspot,0,global
0.999,0.970873786407767,1.0,0.9852216748768473,0.06,0.048151749050266326,100,3,47,0,benign-q0.95,0.95,streamspot,0,global
0.999,0.9895833333333334,0.95,0.9693877551020408,0.02,0.11537062139304859,95,1,49,5,benign-q0.975,0.975,streamspot,0,global
0.999,0.9895833333333334,0.95,0.9693877551020408,0.02,0.16946614009413813,95,1,49,5,benign-q0.99,0.99,streamspot,0,global
0.9694999999999999,0.9615384615384616,1.0,0.9803921568627451,0.04,0.1183392826462697,100,4,96,0,label-tuned,,streamspot,1,global
0.94,0.970873786407767,1.0,0.9852216748768473,0.06,0.08057215161368614,100,3,47,0,benign-q0.95,0.95,streamspot,1,global
0.94,0.970873786407767,1.0,0.9852216748768473,0.06,0.10083442319869337,100,3,47,0,benign-q0.975,0.975,streamspot,1,global
0.94,0.9693877551020408,0.95,0.9595959595959594,0.06,0.1501571782184696,95,3,47,5,benign-q0.99,0.99,streamspot,1,global
0.999,0.9803921568627451,1.0,0.99009900990099,0.02,0.10340790780018005,100,2,98,0,label-tuned,,streamspot,2,global
0.998,0.9433962264150944,1.0,0.970873786407767,0.12,0.024832578802028795,100,6,44,0,benign-q0.95,0.95,streamspot,2,global
0.998,0.9803921568627451,1.0,0.99009900990099,0.04,0.0323981413476728,100,2,48,0,benign-q0.975,0.975,streamspot,2,global
0.998,0.9803921568627451,1.0,0.99009900990099,0.04,0.04385015370331058,100,2,48,0,benign-q0.99,0.99,streamspot,2,global
0.9985999999999999,0.970873786407767,1.0,0.9852216748768473,0.03,0.07860985373606766,100,3,97,0,label-tuned,,streamspot,3,global
0.9992,0.9900990099009901,1.0,0.9950248756218906,0.02,0.06341629416818835,100,1,49,0,benign-q0.95,0.95,streamspot,3,global
0.9992,1.0,0.95,0.9743589743589743,0.0,0.1381568747898262,95,0,50,5,benign-q0.975,0.975,streamspot,3,global
0.9992,1.0,0.95,0.9743589743589743,0.0,0.1751842801155811,95,0,50,5,benign-q0.99,0.99,streamspot,3,global
0.9791,0.9615384615384616,1.0,0.9803921568627451,0.04,0.10584535214375579,100,4,96,0,label-tuned,,streamspot,4,global
1.0,1.0,0.95,0.9743589743589743,0.0,0.1282119349166003,95,0,50,5,benign-q0.95,0.95,streamspot,4,global
1.0,0.0,0.0,0.0,0.0,0.20135722750028057,0,0,50,100,benign-q0.975,0.975,streamspot,4,global
1.0,0.0,0.0,0.0,0.0,0.22124800887112286,0,0,50,100,benign-q0.99,0.99,streamspot,4,global
0.9119999999999999,0.9523809523809523,0.8,0.8695652173913043,0.04,0.01516525656594403,20,1,24,5,label-tuned,,wget,0,typed
0.9076923076923077,0.9523809523809523,0.8,0.8695652173913043,0.07692307692307693,0.008701829261496798,20,1,12,5,benign-q0.95,0.95,wget,0,typed
0.9076923076923077,0.9523809523809523,0.8,0.8695652173913043,0.07692307692307693,0.010584159743989258,20,1,12,5,benign-q0.975,0.975,wget,0,typed
0.9076923076923077,0.9523809523809523,0.8,0.8695652173913043,0.07692307692307693,0.01171355803348474,20,1,12,5,benign-q0.99,0.99,wget,0,typed
0.8784,0.8076923076923077,0.84,0.8235294117647058,0.2,-0.0020339253957567527,21,5,20,4,label-tuned,,wget,1,typed
0.88,0.8947368421052632,0.68,0.7727272727272727,0.15384615384615385,0.01391928269955434,17,2,11,8,benign-q0.95,0.95,wget,1,typed
0.88,0.8947368421052632,0.68,0.7727272727272727,0.15384615384615385,0.014708066111624786,17,2,11,8,benign-q0.975,0.975,wget,1,typed
0.88,0.8947368421052632,0.68,0.7727272727272727,0.15384615384615385,0.015181336158867057,17,2,11,8,benign-q0.99,0.99,wget,1,typed
0.8128,0.9,0.72,0.7999999999999999,0.08,0.03433162862824912,18,2,23,7,label-tuned,,wget,2,typed
0.88,1.0,0.12,0.21428571428571425,0.0,0.08429070274182329,3,0,13,22,benign-q0.95,0.95,wget,2,typed
0.88,1.0,0.08,0.14814814814814814,0.0,0.11912469382032016,2,0,13,23,benign-q0.975,0.975,wget,2,typed
0.88,0.0,0.0,0.0,0.0,0.14002508846741837,0,0,13,25,benign-q0.99,0.99,wget,2,typed
0.904,0.875,0.84,0.8571428571428572,0.12,0.00019131928321125535,21,3,22,4,label-tuned,,wget,3,typed
0.9015384615384616,0.95,0.76,0.8444444444444444,0.07692307692307693,0.007182113605500636,19,1,12,6,benign-q0.95,0.95,wget,3,typed
0.9015384615384616,0.95,0.76,0.8444444444444444,0.07692307692307693,0.010569743716938333,19,1,12,6,benign-q0.975,0.975,wget,3,typed
0.9015384615384616,0.95,0.76,0.8444444444444444,0.07692307692307693,0.01260232178380096,19,1,12,6,benign-q0.99,0.99,wget,3,typed
0.8464,0.8571428571428571,0.72,0.782608695652174,0.12,0.04157633478716838,18,3,22,7,label-tuned,,wget,4,typed
0.8153846153846154,0.8947368421052632,0.68,0.7727272727272727,0.15384615384615385,0.042506775340957315,17,2,11,8,benign-q0.95,0.95,wget,4,typed
0.8153846153846154,0.8888888888888888,0.64,0.7441860465116279,0.15384615384615385,0.047580340689432205,16,2,11,9,benign-q0.975,0.975,wget,4,typed
0.8153846153846154,0.8888888888888888,0.64,0.7441860465116279,0.15384615384615385,0.05062447989851715,16,2,11,9,benign-q0.99,0.99,wget,4,typed
0.9995159478906882,0.9953786981383174,0.9996621919337308,0.9975158465540614,0.0005129695253895566,0.15537443211580326,68063,316,615705,23,label-tuned,,trace,0,node-level
0.9995159478906882,0.477250583543035,1.0,0.6461335522351234,0.12106243131321821,-0.04270728875833768,68086,74577,541444,0,benign-q0.95,0.95,trace,0,node-level
0.9995159478906882,0.6353439587921317,1.0,0.777015691868759,0.0634361490923199,-0.021713146362496993,68086,39078,576943,0,benign-q0.975,0.975,trace,0,node-level
0.9995159478906882,0.8016058961347823,1.0,0.8898792991903178,0.027354586937782966,0.01201362437294809,68086,16851,599170,0,benign-q0.99,0.99,trace,0,node-level
0.9994538764155316,0.9949566564825237,0.9996475046265018,0.9972965646589935,0.0005600458425930285,0.15303031893275865,68062,345,615676,24,label-tuned,,trace,1,node-level
0.9994538764155316,0.4417239209274866,1.0,0.6127718552985064,0.13968841971296433,-0.03407458320828399,68086,86051,529970,0,benign-q0.95,0.95,trace,1,node-level
0.9994538764155316,0.6160012304463082,1.0,0.7623771799680878,0.06889862520920553,-0.018337500453740153,68086,42443,573578,0,benign-q0.975,0.975,trace,1,node-level
0.9994538764155316,0.8058350100603622,0.9999853126927709,0.8924732592281879,0.026630585645619223,0.018568403343139472,68085,16405,599616,1,benign-q0.99,0.99,trace,1,node-level
0.9995676835257408,0.9961216485189088,0.9996621919337308,0.9978887797440145,0.000430180139962761,0.1643173308442537,68063,265,615756,23,label-tuned,,trace,2,node-level
0.9995676835257408,0.46910245898815633,1.0,0.6386245644313338,0.12508502145219075,-0.04304624436766974,68086,77055,538966,0,benign-q0.95,0.95,trace,2,node-level
0.9995676835257408,0.6379215035931454,1.0,0.7789402632467094,0.06273325097683358,-0.02039678797447712,68086,38645,577376,0,benign-q0.975,0.975,trace,2,node-level
0.9995676835257408,0.8029080874548928,0.9999853126927709,0.8906752832212658,0.027130568600745752,0.011212033397490802,68085,16713,599308,1,benign-q0.99,0.99,trace,2,node-level
0.9994378056397368,0.9946513904923351,0.9996621919337308,0.9971504962824597,0.0005941355895334737,0.14782197251496132,68063,366,615655,23,label-tuned,,trace,3,node-level
0.9994378056397368,0.5146372988457962,1.0,0.6795518626643711,0.10423832953746706,-0.0359739983766319,68086,64213,551808,0,benign-q0.95,0.95,trace,3,node-level
0.9994378056397368,0.6606442848825926,1.0,0.7956481600504832,0.05677403854738718,-0.02275552000574283,68086,34974,581047,0,benign-q0.975,0.975,trace,3,node-level
0.9994378056397368,0.8201332257248516,0.9999853126927709,0.9011733718059868,0.024239433395939425,0.016512145326816552,68085,14932,601089,1,benign-q0.99,0.99,trace,3,node-level
