dataset,threshold_method,pooling,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std
streamspot,benign-q0.95,global,0.9872399999999999,0.02641756991095134,0.9750485618263237,0.021713003539116545,0.99,0.022360679774997918,0.9821401972284652,0.00964994026435388,0.052000000000000005,0.04604345773288535
streamspot,benign-q0.975,global,0.9872399999999999,0.02641756991095134,0.7881698553207691,0.440732702383497,0.78,0.4367493560384491,0.7838134828477704,0.43824306875293145,0.024,0.026076809620810593
streamspot,benign-q0.99,global,0.9872399999999999,0.02641756991095134,0.7878726490596238,0.4405791696476709,0.7699999999999999,0.43098723879019896,0.7786883397915929,0.43543967237107634,0.024,0.026076809620810593
streamspot,label-tuned,global,0.98894,0.013789960115968442,0.9690433305510405,0.007876279479107214,1.0,0.0,0.9842653346760348,0.00405783047133427,0.032,0.008366600265340756
trace,benign-q0.95,node-level,0.9995595928644285,0.00015586688407543303,0.4689874787672152,0.030049251501588697,1.0,0.0,0.6380667729173373,0.02757716925632499,0.12589603276511677,0.01471245791797247
trace,benign-q0.975,node-level,0.9995595928644285,0.00015586688407543303,0.633540162678006,0.018116085487903003,1.0,0.0,0.7755453546267967,0.01351340070352824,0.06404424524488612,0.004932061026950895
trace,benign-q0.99,node-level,0.9995595928644285,0.00015586688407543303,0.8033148431729966,0.012133853786587372,0.9999882501542168,6.568363474136399e-06,0.8908864747024937,0.0074654683625751655,0.027086089597594887,0.002080878686745769
trace,label-tuned,node-level,0.9995595928644285,0.00015586688407543303,0.9958901740472138,0.0014777529906746783,0.9996533795493934,1.313672694826116e-05,0.9977677835069108,0.000736249534252405,0.0004561532804888145,0.00016440085610859128
wget,benign-q0.95,typed,0.876923076923077,0.036601160779601,0.9383709273182956,0.04454639580834737,0.608,0.27770487932335647,0.6947499843152016,0.27201821028196094,0.09230769230769231,0.06435846357954428
wget,benign-q0.975,typed,0.876923076923077,0.036601160779601,0.9372013366750208,0.04603049136562287,0.592,0.29312113536898016,0.6758142258445595,0.2993634627920247,0.09230769230769231,0.06435846357954428
wget,benign-q0.99,typed,0.876923076923077,0.036601160779601,0.7372013366750209,0.4131821323252871,0.576,0.32814630883189894,0.64618459621493,0.3648210982665849,0.09230769230769231,0.06435846357954428
wget,label-tuned,typed,0.87072,0.04128186042319316,0.8784432234432235,0.053391796766429356,0.784,0.06066300355241243,0.8265692363902083,0.03684798049509086,0.11200000000000002,0.05932958789676531
