dataset,variant,variant_label,seed,edge_recon,auc,precision,recall,f1,fpr,threshold,tp,fp,tn,fn
streamspot,full,Full (GraphSAGE + Denoising),0,False,0.9984999999999999,0.970873786407767,1.0,0.9852216748768473,0.03,0.08388996483177014,100,3,97,0
streamspot,full,Full (GraphSAGE + Denoising),1,False,0.9964999999999999,1.0,0.95,0.9743589743589743,0.0,0.212767983885089,95,0,100,5
streamspot,full,Full (GraphSAGE + Denoising),2,False,0.999,0.9803921568627451,1.0,0.9900990099009901,0.02,0.0866342801070128,100,2,98,0
streamspot,full,Full (GraphSAGE + Denoising),3,False,0.9985999999999999,0.970873786407767,1.0,0.9852216748768473,0.03,0.05743359845962215,100,3,97,0
streamspot,full,Full (GraphSAGE + Denoising),4,False,0.998,0.9615384615384616,1.0,0.9803921568627451,0.04,0.07091369699134253,100,4,96,0
streamspot,no_denoising,w/o Denoising (GraphSAGE only),0,False,0.9984999999999999,0.970873786407767,1.0,0.9852216748768473,0.03,0.09093312283229638,100,3,97,0
streamspot,no_denoising,w/o Denoising (GraphSAGE only),1,False,0.998,0.9615384615384616,1.0,0.9803921568627451,0.04,0.09845648302029464,100,4,96,0
streamspot,no_denoising,w/o Denoising (GraphSAGE only),2,False,0.9987,0.970873786407767,1.0,0.9852216748768473,0.03,0.07692741120560886,100,3,97,0
streamspot,no_denoising,w/o Denoising (GraphSAGE only),3,False,0.999,0.9803921568627451,1.0,0.9900990099009901,0.02,0.06565233661043657,100,2,98,0
streamspot,no_denoising,w/o Denoising (GraphSAGE only),4,False,0.998,0.9615384615384616,1.0,0.9803921568627451,0.04,0.08226810206853963,100,4,96,0
streamspot,no_graphsage,w/o GraphSAGE (GCN + Denoising),0,False,0.996,1.0,0.95,0.9743589743589743,0.0,0.32295244807527257,95,0,100,5
streamspot,no_graphsage,w/o GraphSAGE (GCN + Denoising),1,False,0.9967,1.0,0.95,0.9743589743589743,0.0,0.3151940734538886,95,0,100,5
streamspot,no_graphsage,w/o GraphSAGE (GCN + Denoising),2,False,0.9982,0.9523809523809523,1.0,0.975609756097561,0.05,0.09120859477763166,100,5,95,0
streamspot,no_graphsage,w/o GraphSAGE (GCN + Denoising),3,False,0.9973,1.0,0.95,0.9743589743589743,0.0,0.29935504493954235,95,0,100,5
streamspot,no_graphsage,w/o GraphSAGE (GCN + Denoising),4,False,0.9961,1.0,0.95,0.9743589743589743,0.0,0.28619555642658834,95,0,100,5
streamspot,baseline,w/o GraphSAGE & Denoising (GCN only),0,False,0.9951,1.0,0.95,0.9743589743589743,0.0,0.32350943484315997,95,0,100,5
streamspot,baseline,w/o GraphSAGE & Denoising (GCN only),1,False,0.9974,1.0,0.95,0.9743589743589743,0.0,0.3033092803779184,95,0,100,5
streamspot,baseline,w/o GraphSAGE & Denoising (GCN only),2,False,0.9976999999999999,0.9523809523809523,1.0,0.975609756097561,0.05,0.07574328830793953,100,5,95,0
streamspot,baseline,w/o GraphSAGE & Denoising (GCN only),3,False,0.9982,0.9702970297029703,0.98,0.9751243781094527,0.03,0.08946336711244463,98,3,97,2
streamspot,baseline,w/o GraphSAGE & Denoising (GCN only),4,False,0.9969,1.0,0.95,0.9743589743589743,0.0,0.3102452138456119,95,0,100,5
wget,full,Full (GraphSAGE + Denoising),0,False,0.9312,0.9565217391304348,0.88,0.9166666666666666,0.04,0.0005373886177653109,22,1,24,3
wget,full,Full (GraphSAGE + Denoising),1,False,0.9232000000000001,0.8846153846153846,0.92,0.9019607843137255,0.12,-0.011371900704891802,23,3,22,2
wget,full,Full (GraphSAGE + Denoising),2,False,0.8208,0.9,0.72,0.8,0.08,0.022864295844572058,18,2,23,7
wget,full,Full (GraphSAGE + Denoising),3,False,0.904,0.7931034482758621,0.92,0.8518518518518519,0.24,-0.015536182787153019,23,6,19,2
wget,full,Full (GraphSAGE + Denoising),4,False,0.872,0.7586206896551724,0.88,0.8148148148148148,0.28,0.006640439411112253,22,7,18,3
wget,no_denoising,w/o Denoising (GraphSAGE only),0,False,0.92,0.9166666666666666,0.88,0.8979591836734694,0.08,-0.011537127430430838,22,2,23,3
wget,no_denoising,w/o Denoising (GraphSAGE only),1,False,0.9408,0.9565217391304348,0.88,0.9166666666666666,0.04,0.01814803311755908,22,1,24,3
wget,no_denoising,w/o Denoising (GraphSAGE only),2,False,0.8640000000000001,0.7857142857142857,0.88,0.8301886792452831,0.24,0.0024370724633505647,22,6,19,3
wget,no_denoising,w/o Denoising (GraphSAGE only),3,False,0.8928,0.875,0.84,0.8571428571428571,0.12,-0.002570934281380499,21,3,22,4
wget,no_denoising,w/o Denoising (GraphSAGE only),4,False,0.8656,0.7777777777777778,0.84,0.8076923076923077,0.24,0.005717307698673069,21,6,19,4
wget,no_graphsage,w/o GraphSAGE (GCN + Denoising),0,False,0.7792000000000001,0.85,0.68,0.7555555555555555,0.12,-0.00826753252666379,17,3,22,8
wget,no_graphsage,w/o GraphSAGE (GCN + Denoising),1,False,0.7727999999999999,0.5681818181818182,1.0,0.7246376811594203,0.76,-0.06514242914433871,25,19,6,0
wget,no_graphsage,w/o GraphSAGE (GCN + Denoising),2,False,0.672,0.6785714285714286,0.76,0.7169811320754716,0.36,-0.015232275333371126,19,9,16,6
wget,no_graphsage,w/o GraphSAGE (GCN + Denoising),3,False,0.7696000000000001,0.76,0.76,0.76,0.24,-0.0218496103284484,19,6,19,6
wget,no_graphsage,w/o GraphSAGE (GCN + Denoising),4,False,0.6752,0.6111111111111112,0.88,0.7213114754098361,0.56,-0.04293426646929566,22,14,11,3
wget,baseline,w/o GraphSAGE & Denoising (GCN only),0,False,0.7856,0.8181818181818182,0.72,0.7659574468085106,0.16,-0.011786970311301714,18,4,21,7
wget,baseline,w/o GraphSAGE & Denoising (GCN only),1,False,0.7632,0.6388888888888888,0.92,0.7540983606557377,0.52,-0.04160917794354074,23,13,12,2
wget,baseline,w/o GraphSAGE & Denoising (GCN only),2,False,0.6576,0.575,0.92,0.7076923076923077,0.68,-0.05387355245135261,23,17,8,2
wget,baseline,w/o GraphSAGE & Denoising (GCN only),3,False,0.768,0.7142857142857143,0.8,0.7547169811320755,0.32,-0.03605851427626294,20,8,17,5
wget,baseline,w/o GraphSAGE & Denoising (GCN only),4,False,0.7424,0.5897435897435898,0.92,0.71875,0.64,-0.048937257837442516,23,16,9,2
trace,full,Full (GraphSAGE + Denoising),0,False,0.9982981276317301,0.9848506771617085,0.999691566548189,0.9922156299654514,0.0016996173831736255,0.18374666279431295,68065,1047,614974,21
trace,full,Full (GraphSAGE + Denoising),1,False,0.9984913721260368,0.9865201762523191,0.9996475046265018,0.9930404587169349,0.0015096887930768593,0.1812371978535039,68062,930,615091,24
trace,full,Full (GraphSAGE + Denoising),2,False,0.9980648490247457,0.9828026857266623,0.9996768792409599,0.9911679687784419,0.001933375647908107,0.17930480125654746,68064,1191,614830,22
trace,full,Full (GraphSAGE + Denoising),3,False,0.9968171144588729,0.9719985149645877,0.9997796903915636,0.9856933926063222,0.0031833330357244317,0.1493883143403979,68071,1961,614060,15
trace,full,Full (GraphSAGE + Denoising),4,False,0.9983348298182264,0.9851778942187998,0.9996475046265018,0.9923599568425043,0.0016622809936674237,0.18006328490486212,68062,1024,614997,24
trace,no_denoising,w/o Denoising (GraphSAGE only),0,False,0.9972859273493626,0.9752973205330276,0.9997062538554181,0.9873509530302591,0.002798605891682264,0.1628866705288584,68066,1724,614297,20
trace,no_denoising,w/o Denoising (GraphSAGE only),1,False,0.9982092756231628,0.9840815441335936,0.9996768792409599,0.99181791025202,0.001787276732449056,0.17379369508000386,68064,1101,614920,22
trace,no_denoising,w/o Denoising (GraphSAGE only),2,False,0.9984139331013177,0.9858771383461042,0.9996475046265018,0.9927145701304668,0.0015827382508063848,0.18744376186050993,68062,975,615046,24
trace,no_denoising,w/o Denoising (GraphSAGE only),3,False,0.9958953305445495,0.9639600090631019,0.9997796903915636,0.9815431644821272,0.004131352664925384,0.14778653480776527,68071,2545,613476,15
trace,no_denoising,w/o Denoising (GraphSAGE only),4,False,0.9981514509001076,0.9835698390219936,0.999691566548189,0.9915651768544956,0.0018457162986326764,0.17474643476481921,68065,1137,614884,21
trace,no_graphsage,w/o GraphSAGE (GCN + Denoising),0,False,0.9539914663592343,0.6243523553631853,0.9999853126927709,0.7687357100516555,0.06649773303182846,0.04900558077434547,68085,40964,575057,1
trace,no_graphsage,w/o GraphSAGE (GCN + Denoising),1,False,0.9539914650717545,0.6243523553631853,0.9999853126927709,0.7687357100516555,0.06649773303182846,0.05839719221931228,68085,40964,575057,1
trace,no_graphsage,w/o GraphSAGE (GCN + Denoising),2,False,0.95399146523865,0.6243523553631853,0.9999853126927709,0.7687357100516555,0.06649773303182846,0.0587524767384866,68085,40964,575057,1
trace,no_graphsage,w/o GraphSAGE (GCN + Denoising),3,False,0.9539914663592343,0.6243523553631853,0.9999853126927709,0.7687357100516555,0.06649773303182846,0.05731069145161838,68085,40964,575057,1
trace,no_graphsage,w/o GraphSAGE (GCN + Denoising),4,False,0.9539914661208121,0.6243523553631853,0.9999853126927709,0.7687357100516555,0.06649773303182846,0.05135888681862755,68085,40964,575057,1
trace,baseline,w/o GraphSAGE & Denoising (GCN only),0,False,0.9539914663592343,0.6243523553631853,0.9999853126927709,0.7687357100516555,0.06649773303182846,0.04763475288799657,68085,40964,575057,1
