dataset,variant,variant_label,edge_recon,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std
streamspot,baseline,w/o GraphSAGE & Denoising (GCN only),False,0.99706,0.0011928956366757393,0.9845355964167846,0.022102608724359443,0.966,0.023021728866442687,0.9747622114567873,0.0005782078072728007,0.016,0.02302172886644268
streamspot,full,Full (GraphSAGE + Denoising),False,0.9981199999999999,0.0009731392500562293,0.9767356382433482,0.014614012539704175,0.99,0.022360679774997935,0.9830586981752809,0.005952280291402371,0.024,0.015165750888103102
streamspot,no_denoising,w/o Denoising (GraphSAGE only),False,0.9984400000000001,0.00043931765272979133,0.9690433305510405,0.007876279479107216,1.0,0.0,0.984265334676035,0.004057830471334317,0.032,0.008366600265340755
streamspot,no_graphsage,w/o GraphSAGE (GCN + Denoising),False,0.9968600000000001,0.0009126883367283427,0.9904761904761905,0.021295885499998026,0.96,0.022360679774997918,0.9746091307066915,0.0005593665984990194,0.01,0.0223606797749979
trace,baseline,w/o GraphSAGE & Denoising (GCN only),False,0.9539914656058202,6.931896997499867e-10,0.6243523553631853,0.0,0.9999853126927709,0.0,0.7687357100516555,0.0,0.06649773303182846,0.0
trace,full,Full (GraphSAGE + Denoising),False,0.9980012586119222,0.00067931092607117,0.9822699896648155,0.005894211153581674,0.9996886290867432,5.436288083692701e-05,0.9908954813819311,0.0029843083551907884,0.0019976591707100894,0.0006799590803283297
trace,no_denoising,w/o Denoising (GraphSAGE only),False,0.9975911835036999,0.0010418676622800714,0.9785571702195641,0.00912320150557036,0.9997003789325264,4.9372077413763104e-05,0.9889983549498738,0.004654098195555918,0.002429137967699153,0.0010609901734128634
trace,no_graphsage,w/o GraphSAGE (GCN + Denoising),False,0.953991465829937,6.263746214098112e-10,0.6243523553631853,0.0,0.9999853126927709,0.0,0.7687357100516555,0.0,0.06649773303182846,0.0
wget,baseline,w/o GraphSAGE & Denoising (GCN only),False,0.74336,0.05035045183511267,0.6672200022200022,0.10039226366233923,0.8560000000000001,0.0920869154657707,0.7402430192577263,0.025417496641527107,0.4640000000000001,0.2201817431123662
wget,full,Full (GraphSAGE + Denoising),False,0.89024,0.04502230558289971,0.8585722523353707,0.08103253076100186,0.8640000000000001,0.0829457654133109,0.8570588235294118,0.051567090316019464,0.152,0.10353743284435829
wget,no_denoising,w/o Denoising (GraphSAGE only),False,0.89664,0.03368750510204036,0.8623360938578329,0.07906347408476792,0.8640000000000001,0.021908902300206663,0.8619299388841167,0.04545976297999173,0.144,0.09208691546577069
wget,no_graphsage,w/o GraphSAGE (GCN + Denoising),False,0.73376,0.05503860463347524,0.6935728715728716,0.11361108154591239,0.8160000000000001,0.1252198067399882,0.7356971688400568,0.0203993480332752,0.40800000000000003,0.2551862065237853
