dataset,pipeline,pipeline_label,corruption,encoder,auxiliary_objective,pooling,detector,seed,epochs,num_hidden,num_layers,auc,precision,recall,f1,fpr,threshold,tp,fp,tn,fn
streamspot,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,global,iforest,0,5,256,4,0.9791,0.9615384615384616,1.0,0.9803921568627451,0.04,0.09765468314625458,100,4,96,0
streamspot,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,global,knn,0,5,256,4,0.9996,0.9900990099009901,1.0,0.9950248756218906,0.01,10.151199966181727,100,1,99,0
streamspot,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,global,iforest,1,5,256,4,0.94,0.9433962264150944,1.0,0.970873786407767,0.06,0.12484920209295136,100,6,94,0
streamspot,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,global,knn,1,5,256,4,0.9994999999999999,0.9900990099009901,1.0,0.9950248756218906,0.01,9.968630057576854,100,1,99,0
streamspot,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,global,iforest,2,5,256,4,0.99,0.9900990099009901,1.0,0.9950248756218906,0.01,0.13035191601037321,100,1,99,0
streamspot,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,global,knn,2,5,256,4,1.0,1.0,1.0,1.0,0.0,8.855506130321768,100,0,100,0
streamspot,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,global,iforest,3,5,256,4,0.9891,0.970873786407767,1.0,0.9852216748768473,0.03,0.0966746270837694,100,3,97,0
streamspot,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,global,knn,3,5,256,4,1.0,1.0,1.0,1.0,0.0,9.881866133617763,100,0,100,0
streamspot,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,global,iforest,4,5,256,4,0.9794999999999999,0.970873786407767,1.0,0.9852216748768473,0.03,0.12253130934326517,100,3,97,0
streamspot,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,global,knn,4,5,256,4,1.0,1.0,1.0,1.0,0.0,8.365419263615147,100,0,100,0
streamspot,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,global,iforest,0,5,256,4,0.989,0.970873786407767,1.0,0.9852216748768473,0.03,0.08358692810449908,100,3,97,0
streamspot,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,global,knn,0,5,256,4,1.0,1.0,1.0,1.0,0.0,8.00491779245733,100,0,100,0
streamspot,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,global,iforest,1,5,256,4,0.9694999999999999,0.9615384615384616,1.0,0.9803921568627451,0.04,0.11464417324898801,100,4,96,0
streamspot,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,global,knn,1,5,256,4,1.0,1.0,1.0,1.0,0.0,8.17357909795947,100,0,100,0
streamspot,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,global,iforest,2,5,256,4,0.999,0.9803921568627451,1.0,0.9900990099009901,0.02,0.08551064675939846,100,2,98,0
streamspot,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,global,knn,2,5,256,4,1.0,1.0,1.0,1.0,0.0,7.7229705086442575,100,0,100,0
streamspot,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,global,iforest,3,5,256,4,0.9894999999999999,0.9803921568627451,1.0,0.9900990099009901,0.02,0.08738033491216224,100,2,98,0
streamspot,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,global,knn,3,5,256,4,1.0,1.0,1.0,1.0,0.0,7.8719579048792845,100,0,100,0
streamspot,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,global,iforest,4,5,256,4,0.9881,0.9523809523809523,1.0,0.975609756097561,0.05,0.08475536963820329,100,5,95,0
streamspot,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,global,knn,4,5,256,4,0.9994999999999999,0.9900990099009901,1.0,0.9950248756218906,0.01,6.634019047934522,100,1,99,0
wget,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,type-aware,iforest,0,5,256,4,0.9007999999999999,0.9523809523809523,0.8,0.8695652173913043,0.04,0.015527929479965952,20,1,24,5
wget,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,type-aware,knn,0,5,256,4,0.9792,0.9230769230769231,0.96,0.9411764705882353,0.08,1.1823210539586417,24,2,23,1
wget,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,type-aware,iforest,1,5,256,4,0.888,1.0,0.72,0.8372093023255814,0.0,0.04534881908205013,18,0,25,7
wget,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,type-aware,knn,1,5,256,4,0.9792,0.8620689655172413,1.0,0.9259259259259259,0.16,1.1288211832753055,25,4,21,0
wget,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,type-aware,iforest,2,5,256,4,0.8383999999999999,0.9473684210526315,0.72,0.8181818181818182,0.04,0.04563194972269524,18,1,24,7
wget,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,type-aware,knn,2,5,256,4,0.9648000000000001,0.8333333333333334,1.0,0.9090909090909091,0.2,1.1712665875328552,25,5,20,0
wget,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,type-aware,iforest,3,5,256,4,0.8992,0.8695652173913043,0.8,0.8333333333333334,0.12,0.0008220972284292971,20,3,22,5
wget,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,type-aware,knn,3,5,256,4,0.9696,0.8928571428571429,1.0,0.9433962264150944,0.12,1.1560787852775398,25,3,22,0
wget,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,type-aware,iforest,4,5,256,4,0.8512,0.696969696969697,0.92,0.7931034482758621,0.4,-0.027238869241159258,23,10,15,2
wget,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,type-aware,knn,4,5,256,4,0.9632000000000001,0.9166666666666666,0.88,0.8979591836734694,0.08,1.280045961232699,22,2,23,3
wget,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,type-aware,iforest,0,5,256,4,0.9248,0.9545454545454546,0.84,0.8936170212765957,0.04,-0.0001298998399299478,21,1,24,4
wget,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,type-aware,knn,0,5,256,4,0.9792000000000001,0.96,0.96,0.96,0.04,1.1538761962639061,24,1,24,1
wget,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,type-aware,iforest,1,5,256,4,0.8640000000000001,0.7333333333333333,0.88,0.8,0.32,-0.022881483556858206,22,8,17,3
wget,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,type-aware,knn,1,5,256,4,0.9792,0.8620689655172413,1.0,0.9259259259259259,0.16,1.129332628645101,25,4,21,0
wget,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,type-aware,iforest,2,5,256,4,0.8400000000000001,0.9523809523809523,0.8,0.8695652173913043,0.04,0.022330866671861127,20,1,24,5
wget,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,type-aware,knn,2,5,256,4,0.96,0.8846153846153846,0.92,0.9019607843137255,0.12,1.3757173931439053,23,3,22,2
wget,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,type-aware,iforest,3,5,256,4,0.9216,0.9130434782608695,0.84,0.875,0.08,0.012972918385178556,21,2,23,4
wget,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,type-aware,knn,3,5,256,4,0.9664,0.8928571428571429,1.0,0.9433962264150944,0.12,1.1416781580817432,25,3,22,0
wget,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,type-aware,iforest,4,5,256,4,0.8496,0.6666666666666666,0.96,0.7868852459016393,0.48,-0.05250986016894105,24,12,13,1
wget,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,type-aware,knn,4,5,256,4,0.9600000000000001,0.8846153846153846,0.92,0.9019607843137255,0.12,1.2705522393758042,23,3,22,2
trace,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,node-level,iforest,0,50,64,3,0.9947179284129594,0.9543109491097714,0.9997796903915636,0.9765163252424399,0.005290404060900521,0.08288564952034572,68071,3259,612762,15
trace,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,node-level,knn,0,50,64,3,0.9998991604339635,0.9991925657324897,0.9996475046265018,0.9994199834071202,8.928267055830889e-05,1308.848956643063,68062,55,615966,24
trace,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,node-level,iforest,1,50,64,3,0.9901963748001985,0.9183935027791269,0.99983843962048,0.9573869629421279,0.0098194704401311,0.05764021631426408,68075,6049,609972,11
trace,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,node-level,knn,1,50,64,3,0.9998538618044861,0.998840690302888,0.999691566548189,0.9992659472950158,0.00012824238134738914,1223.6945103487662,68065,79,615942,21
trace,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,node-level,iforest,2,50,64,3,0.9960731324101482,0.9656948286869547,0.9997209411626472,0.9824133476701474,0.003925190861999835,0.09434589353373923,68067,2418,613603,19
trace,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,node-level,knn,2,50,64,3,0.9998114238478217,0.9984011969021357,0.9997209411626472,0.999060633191939,0.00017694201983373944,1188.9480426606626,68067,109,615912,19
trace,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,node-level,iforest,3,50,64,3,0.9827213927867646,0.8647790353518031,0.9998825015421673,0.9274363288354256,0.017280255056239965,0.046990717849921926,68078,10645,605376,8
trace,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,node-level,knn,3,50,64,3,0.9998651491875271,0.998855331513604,0.9996768792409599,0.9992659365181901,0.00012661906006451078,1241.7712893372695,68064,78,615943,22
trace,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,node-level,iforest,4,50,64,3,0.9968101155995,0.9719413982179576,0.9997209411626472,0.9856354711188984,0.003189826320855945,0.11135666988219972,68067,1965,614056,19
trace,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,node-level,knn,4,50,64,3,0.9999304024067311,0.9994860499265785,0.999691566548189,0.9995887976737697,5.681624490074202e-05,1513.5919934336719,68065,35,615986,21
trace,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,node-level,iforest,0,50,64,3,0.9990888646880018,0.9918393518113724,0.9996475046265018,0.9957281212511339,0.0009090599184118723,0.15503754840369044,68062,560,615461,24
trace,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,node-level,knn,0,50,64,3,0.9995049560319444,0.9956264809993272,0.9997209411626472,0.997669510157418,0.0004853730635806247,907.46957184859,68067,299,615722,19
trace,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,node-level,iforest,1,50,64,3,0.9983304825354109,0.9851219335697229,0.9997209411626472,0.9923677477201653,0.001668774278798937,0.13918134872347543,68067,1028,614993,19
trace,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,node-level,knn,1,50,64,3,0.9998133803879491,0.9983572413388483,0.9997062538554181,0.999031292197499,0.00018181198368237447,1132.4704902549358,68066,112,615909,20
trace,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,node-level,iforest,2,50,64,3,0.9982095572116834,0.984066855589613,0.9996475046265018,0.9917959927140255,0.0017889000537319344,0.13382846791835956,68062,1102,614919,24
trace,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,node-level,knn,2,50,64,3,0.9995867864475834,0.99636970459935,0.9997062538554181,0.9980351906158358,0.0004025836781538292,1055.1444001615137,68066,248,615773,20
trace,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,node-level,iforest,3,50,64,3,0.997990029842591,0.9821505872846382,0.999691566548189,0.9908434506652691,0.002008048426920511,0.1368945960552851,68065,1237,614784,21
trace,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,node-level,knn,3,50,64,3,0.9997136754134814,0.9975378843391858,0.9997062538554181,0.9986208920187793,0.0002727179755235617,1260.7530615295977,68066,168,615853,20
trace,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,node-level,iforest,4,50,64,3,0.9978777616760537,0.9811600887940727,0.9997209411626472,0.9903535573985159,0.0021216809167219947,0.13135399816689486,68067,1307,614714,19
trace,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,node-level,knn,4,50,64,3,0.9995456497395943,0.9960344171617548,0.9997209411626472,0.9978742743212338,0.00043992006766003106,957.5890329010937,68067,271,615750,19
