dataset,pipeline,pipeline_label,corruption,encoder,auxiliary_objective,pooling,detector,epochs,num_hidden,num_layers,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std
streamspot,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,global,iforest,5,256,4,0.97554,0.020520794331604256,0.967356254134016,0.016955151469733143,1.0,0.0,0.9833468337292194,0.008770885730260207,0.033999999999999996,0.01816590212458495
streamspot,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,global,knn,5,256,4,0.99982,0.00024899799195982774,0.996039603960396,0.005422995618863023,1.0,0.0,0.9980099502487562,0.0027249878482844174,0.004,0.005477225575051661
streamspot,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,global,iforest,5,256,4,0.98702,0.010743695825925097,0.9691155028105343,0.012195020981467153,1.0,0.0,0.9842843215278266,0.0063027149752902896,0.032,0.013038404810405298
streamspot,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,global,knn,5,256,4,0.9999,0.0002236067977500102,0.998019801980198,0.004427857381187706,1.0,0.0,0.9990049751243781,0.0022249432611938166,0.002,0.00447213595499958
trace,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,node-level,iforest,50,64,3,0.9921037888019141,0.005839659871751361,0.9350239428291227,0.044403009260956194,0.9997885027759011,7.165238620367546e-05,0.9658776871618079,0.024118505049571252,0.007901029348025473,0.005840984102218163
trace,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,node-level,knn,50,64,3,0.9998719995361058,4.52601598118137e-05,0.9989551668755391,0.0004087021371896971,0.9996856916252973,2.6680818559732724e-05,0.999320259617207,0.00019708134755931354,0.00011558047534093805,4.5255449049179364e-05
trace,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,node-level,iforest,50,64,3,0.9982993391907481,0.00047586266302598743,0.9848677634098838,0.004196397198753602,0.9996856916252973,3.686484856800717e-05,0.992217773949822,0.002114651127202555,0.00169929271891705,0.0004762275205990706
trace,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,node-level,knn,50,64,3,0.9996328896041105,0.00012767787977576396,0.9967851456876933,0.001131015991425336,0.9997121287783097,8.044569478384396e-06,0.9982462318621532,0.0005639567154718407,0.0003564813537200842,0.00012572411118117355
wget,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,type-aware,iforest,5,256,4,0.8755200000000001,0.028831094325398068,0.893256857558917,0.11927673869668232,0.792,0.0819756061276768,0.8302786239015798,0.027969306268572493,0.12000000000000002,0.16248076809271922
wget,magic_style,MAGIC-style masked GAE,mask token,GCNII,attribute + edge reconstruction,type-aware,knn,5,256,4,0.9712,0.007673330437300323,0.8856006062902615,0.03777511644580215,0.968,0.05215361924162119,0.9235097431387269,0.019837825482041764,0.128,0.0521536192416212
wget,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,type-aware,iforest,5,256,4,0.8800000000000001,0.04036632259693713,0.8439939770374553,0.13456220893221144,0.8640000000000001,0.06066300355241239,0.8450134969139078,0.048138831509423066,0.192,0.19879637823662683
wget,nimble,NIMBLE,Gaussian feature corruption,GraphSAGE,attribute denoising + weighted edge reconstruction,type-aware,knn,5,256,4,0.96896,0.009706080568386004,0.8968313755210306,0.03712464027003145,0.96,0.03999999999999997,0.9266487441936941,0.02555532046821107,0.11200000000000002,0.04381780460041329
