experiment,dataset,corruption,edge_recon,seed,auc,precision,recall,f1,fpr,tp,fp,tn,fn
corruption,trace,gaussian,True,0,0.896896699202186,0.5172971864053917,0.9999412507710836,0.6818530073060687,0.1031279777799782,68082,63529,552492,4
corruption,trace,gaussian,True,1,0.9390504999802776,0.639118353860018,0.9999706253855418,0.7798229237060029,0.062406963398975,68084,38444,577577,2
corruption,trace,gaussian,True,2,0.958322541091576,0.7259012058726317,0.9999559380783128,0.8411695299517535,0.0417323435402364,68083,25708,590313,3
corruption,trace,gaussian,True,3,0.9683949855515828,0.7776039108633824,0.9999118761566256,0.8748562359850164,0.0316076886989242,68080,19471,596550,6
corruption,trace,gaussian,True,4,0.9412246848833036,0.6525831496213936,0.9999706253855418,0.789764291017075,0.0588389032192084,68084,36246,579775,2
corruption,trace,mask,True,0,0.9458812615804866,0.6712353080381794,0.9998237523132508,0.8032235607839435,0.0541247782137297,68074,33342,582679,12
corruption,trace,mask,True,1,0.899885948366383,0.5246307126840657,0.9999853126927708,0.6882034539049746,0.1001459365833307,68085,61692,554329,1
corruption,trace,mask,True,2,0.9478561728882244,0.6772678826392101,0.9892929530299914,0.8040706696908201,0.0521037432165461,67357,32097,583924,729
corruption,trace,mask,True,3,0.9168012767283652,0.5684704467841726,0.9999706253855418,0.7248646548098779,0.0838981138630014,68084,51683,564338,2
corruption,trace,mask,True,4,0.8887562566133835,0.4980213156605002,0.9999559380783128,0.6648957728047346,0.1113987997162434,68083,68624,547397,3
corruption,trace,none,True,0,0.8959450278630494,0.5140122002778281,0.9999706253855418,0.6789999102432408,0.1044964376214447,68084,64372,551649,2
corruption,trace,none,True,1,0.935027883221468,0.6263189365714549,0.9999706253855418,0.7702202035171474,0.0659409338318011,68084,40621,575400,2
corruption,trace,none,True,2,0.92599375517806,0.5988793497765736,0.9999559380783128,0.7491115145513562,0.0740250738205353,68083,45601,570420,3
corruption,trace,none,True,3,0.9492970612049206,0.6853809293710236,0.9999559380783128,0.8133100787232264,0.0507336600537968,68083,31253,584768,3
corruption,trace,none,True,4,0.942259472341628,0.6567884084814107,0.9999706253855418,0.7928360155576776,0.0577545246022457,68084,35578,580443,2
edge_recon,streamspot,gaussian,True,0,0.9984999999999999,0.970873786407767,1.0,0.9852216748768473,0.03,100,3,97,0
edge_recon,streamspot,gaussian,True,1,0.9694999999999999,0.9615384615384616,1.0,0.9803921568627451,0.04,100,4,96,0
edge_recon,streamspot,gaussian,True,2,0.999,0.9803921568627451,1.0,0.9900990099009901,0.02,100,2,98,0
edge_recon,streamspot,gaussian,True,3,0.999,0.9803921568627451,1.0,0.9900990099009901,0.02,100,2,98,0
edge_recon,streamspot,gaussian,True,4,0.979,0.9615384615384616,1.0,0.9803921568627451,0.04,100,4,96,0
edge_recon,streamspot,gaussian,False,0,0.9984999999999999,0.970873786407767,1.0,0.9852216748768473,0.03,100,3,97,0
edge_recon,streamspot,gaussian,False,1,0.9694999999999999,0.9615384615384616,1.0,0.9803921568627451,0.04,100,4,96,0
edge_recon,streamspot,gaussian,False,2,0.999,0.9803921568627451,1.0,0.9900990099009901,0.02,100,2,98,0
edge_recon,streamspot,gaussian,False,3,0.999,0.9803921568627451,1.0,0.9900990099009901,0.02,100,2,98,0
edge_recon,streamspot,gaussian,False,4,0.979,0.9615384615384616,1.0,0.9803921568627451,0.04,100,4,96,0
edge_recon,wget,gaussian,True,0,0.8944,1.0,0.72,0.8372093023255814,0.0,18,0,25,7
edge_recon,wget,gaussian,True,1,0.8704,1.0,0.68,0.8095238095238095,0.0,17,0,25,8
edge_recon,wget,gaussian,True,2,0.8256,0.9444444444444444,0.68,0.7906976744186046,0.04,17,1,24,8
edge_recon,wget,gaussian,True,3,0.9088,0.875,0.84,0.8571428571428571,0.12,21,3,22,4
edge_recon,wget,gaussian,True,4,0.8320000000000001,0.6764705882352942,0.92,0.7796610169491526,0.44,23,11,14,2
edge_recon,wget,gaussian,False,0,0.9264,0.8846153846153846,0.92,0.9019607843137255,0.12,23,3,22,2
edge_recon,wget,gaussian,False,1,0.8944,0.95,0.76,0.8444444444444444,0.04,19,1,24,6
edge_recon,wget,gaussian,False,2,0.8512,0.95,0.76,0.8444444444444444,0.04,19,1,24,6
edge_recon,wget,gaussian,False,3,0.9168,0.875,0.84,0.8571428571428571,0.12,21,3,22,4
edge_recon,wget,gaussian,False,4,0.8575999999999999,0.6857142857142857,0.96,0.8,0.44,24,11,14,1
edge_recon,trace,gaussian,True,0,0.896896699202186,0.5172971864053917,0.9999412507710836,0.6818530073060687,0.10312797777997829,68082,63529,552492,4
edge_recon,trace,gaussian,True,1,0.9390504999802777,0.639118353860018,0.9999706253855418,0.7798229237060029,0.062406963398975036,68084,38444,577577,2
edge_recon,trace,gaussian,True,2,0.9583225410915761,0.7259012058726317,0.9999559380783127,0.8411695299517535,0.04173234354023645,68083,25708,590313,3
edge_recon,trace,gaussian,True,3,0.9683949855515829,0.7776039108633824,0.9999118761566255,0.8748562359850164,0.031607688698924226,68080,19471,596550,6
edge_recon,trace,gaussian,True,4,0.9412246848833037,0.6525831496213936,0.9999706253855418,0.789764291017075,0.058838903219208434,68084,36246,579775,2
edge_recon,trace,gaussian,False,0,0.9372968375451706,0.6356164900593514,0.989366389566137,0.7739867290954529,0.062687797980913,67362,38617,577404,724
edge_recon,trace,gaussian,False,1,0.9260756393698224,0.5990848695499142,0.9999559380783127,0.749272276056369,0.07396176429050308,68083,45562,570459,3
edge_recon,trace,gaussian,False,2,0.96482390570717,0.7572350127905684,0.9999559380783127,0.8618319451125345,0.035432233641385605,68083,21827,594194,3
edge_recon,trace,gaussian,False,3,0.9616289900502138,0.7406710328771297,0.9999265634638546,0.8509912252193695,0.03869510941997107,68081,23837,592184,5
edge_recon,trace,gaussian,False,4,0.9407261056030229,0.650873771557493,0.9999706253855418,0.7885112050495107,0.059283693250717105,68084,36520,579501,2
