"dataset","corruption","pooling","seed","checkpoint","train_time_s","peak_memory_mb","auc","precision","recall","f1","fpr","tp","fp","tn","fn"
"streamspot","gaussian","global","0","reviewer_experiments\checkpoints\streamspot_gaussian_seed0.pt","41.50835919380188","3146.95068359375","0.9984999999999999","0.970873786407767","1.0","0.9852216743769564","0.03","100","3","97","0"
"streamspot","gaussian","typed","0","reviewer_experiments\checkpoints\streamspot_gaussian_seed0.pt","41.50835919380188","3146.95068359375","0.9551000000000001","0.9595959595959596","0.95","0.9547738688467462","0.04","95","4","96","5"
"streamspot","gaussian","global","1","reviewer_experiments\checkpoints\streamspot_gaussian_seed1.pt","40.7928671836853","3157.72412109375","0.969","0.9523809523809523","1.0","0.9756097555978583","0.05","100","5","95","0"
"streamspot","gaussian","typed","1","reviewer_experiments\checkpoints\streamspot_gaussian_seed1.pt","40.7928671836853","3157.72412109375","0.9833999999999999","0.979381443298969","0.95","0.964467004576258","0.02","95","2","98","5"
"streamspot","gaussian","global","2","reviewer_experiments\checkpoints\streamspot_gaussian_seed2.pt","42.020153284072876","3154.70849609375","0.999","0.9803921568627451","1.0","0.990099009401039","0.02","100","2","98","0"
"streamspot","gaussian","typed","2","reviewer_experiments\checkpoints\streamspot_gaussian_seed2.pt","42.020153284072876","3154.70849609375","0.9647","0.9693877551020408","0.95","0.9595959590960105","0.03","95","3","97","5"
"streamspot","gaussian","global","3","reviewer_experiments\checkpoints\streamspot_gaussian_seed3.pt","41.38842177391052","3166.72412109375","0.999","0.9803921568627451","1.0","0.990099009401039","0.02","100","2","98","0"
"streamspot","gaussian","typed","3","reviewer_experiments\checkpoints\streamspot_gaussian_seed3.pt","41.38842177391052","3166.72412109375","0.9816","0.9894736842105263","0.94","0.9641025636028927","0.01","94","1","99","6"
"streamspot","gaussian","global","4","reviewer_experiments\checkpoints\streamspot_gaussian_seed4.pt","41.49135994911194","3142.9248046875","0.979","0.9615384615384616","1.0","0.9803921563629372","0.04","100","4","96","0"
"streamspot","gaussian","typed","4","reviewer_experiments\checkpoints\streamspot_gaussian_seed4.pt","41.49135994911194","3142.9248046875","0.9511000000000001","0.9595959595959596","0.95","0.9547738688467462","0.04","95","4","96","5"
"streamspot","mask","global","0","reviewer_experiments\checkpoints\streamspot_mask_seed0.pt","42.63375520706177","3164.197265625","0.9894999999999999","0.9803921568627451","1.0","0.990099009401039","0.02","100","2","98","0"
"streamspot","mask","typed","0","reviewer_experiments\checkpoints\streamspot_mask_seed0.pt","42.63375520706177","3164.197265625","0.962","0.9693877551020408","0.95","0.9595959590960105","0.03","95","3","97","5"
"streamspot","mask","global","1","reviewer_experiments\checkpoints\streamspot_mask_seed1.pt","42.467976093292236","3164.47265625","0.96","0.9615384615384616","1.0","0.9803921563629372","0.04","100","4","96","0"
"streamspot","mask","typed","1","reviewer_experiments\checkpoints\streamspot_mask_seed1.pt","42.467976093292236","3164.47265625","0.9301","0.9223300970873787","0.95","0.935960590633114","0.08","95","8","92","5"
"streamspot","mask","global","2","reviewer_experiments\checkpoints\streamspot_mask_seed2.pt","42.54496359825134","3161.4521484375","0.9913","0.9900990099009901","1.0","0.9950248751219029","0.01","100","1","99","0"
"streamspot","mask","typed","2","reviewer_experiments\checkpoints\streamspot_mask_seed2.pt","42.54496359825134","3161.4521484375","0.9747000000000001","0.979381443298969","0.95","0.964467004576258","0.02","95","2","98","5"
"streamspot","mask","global","3","reviewer_experiments\checkpoints\streamspot_mask_seed3.pt","41.8032546043396","3171.73291015625","0.99","0.9900990099009901","1.0","0.9950248751219029","0.01","100","1","99","0"
"streamspot","mask","typed","3","reviewer_experiments\checkpoints\streamspot_mask_seed3.pt","41.8032546043396","3171.73291015625","0.9723","0.979381443298969","0.95","0.964467004576258","0.02","95","2","98","5"
"streamspot","mask","global","4","reviewer_experiments\checkpoints\streamspot_mask_seed4.pt","42.033862829208374","3149.212890625","0.98","0.9803921568627451","1.0","0.990099009401039","0.02","100","2","98","0"
"streamspot","mask","typed","4","reviewer_experiments\checkpoints\streamspot_mask_seed4.pt","42.033862829208374","3149.212890625","0.9679","0.9693877551020408","0.95","0.9595959590960105","0.03","95","3","97","5"
"streamspot","none","global","0","reviewer_experiments\checkpoints\streamspot_none_seed0.pt","41.60048270225525","3160.81298828125","0.9984999999999999","0.970873786407767","1.0","0.9852216743769564","0.03","100","3","97","0"
"streamspot","none","typed","0","reviewer_experiments\checkpoints\streamspot_none_seed0.pt","41.60048270225525","3160.81298828125","0.9635","0.9595959595959596","0.95","0.9547738688467462","0.04","95","4","96","5"
"streamspot","none","global","1","reviewer_experiments\checkpoints\streamspot_none_seed1.pt","41.99892044067383","3161.39794921875","0.96","0.9615384615384616","1.0","0.9803921563629372","0.04","100","4","96","0"
"streamspot","none","typed","1","reviewer_experiments\checkpoints\streamspot_none_seed1.pt","41.99892044067383","3161.39794921875","0.9524","0.9595959595959596","0.95","0.9547738688467462","0.04","95","4","96","5"
"streamspot","none","global","2","reviewer_experiments\checkpoints\streamspot_none_seed2.pt","42.629997968673706","3159.20068359375","0.999","0.9803921568627451","1.0","0.990099009401039","0.02","100","2","98","0"
"streamspot","none","typed","2","reviewer_experiments\checkpoints\streamspot_none_seed2.pt","42.629997968673706","3159.20068359375","0.9736","0.979381443298969","0.95","0.964467004576258","0.02","95","2","98","5"
"streamspot","none","global","3","reviewer_experiments\checkpoints\streamspot_none_seed3.pt","41.687790632247925","3171.40380859375","0.999","0.9803921568627451","1.0","0.990099009401039","0.02","100","2","98","0"
"streamspot","none","typed","3","reviewer_experiments\checkpoints\streamspot_none_seed3.pt","41.687790632247925","3171.40380859375","0.9821000000000001","0.9895833333333334","0.95","0.969387754602249","0.01","95","1","99","5"
