dataset,corruption,pooling,auc_mean,auc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,fpr_mean,fpr_std,train_time_s_mean,train_time_s_std,peak_memory_mb_mean,peak_memory_mb_std
streamspot,gaussian,global,0.9888999999999999,0.014055248130146995,0.984284321027966,0.006302714975184895,0.9691155028105343,0.012195020981467153,1.0,0.0,0.032,0.013038404810405298,41.440232276916504,0.4374155868180947,3153.8064453125,9.33327110616052
streamspot,gaussian,typed,0.9671799999999999,0.014846447386496273,0.9595426529937306,0.004757296219847197,0.971486960360691,0.012971541512139497,0.9480000000000001,0.004472135954999596,0.028000000000000004,0.013038404810405298,41.440232276916504,0.4374155868180947,3153.8064453125,9.33327110616052
streamspot,mask,global,0.98216,0.013177746393067393,0.9901279850817641,0.005973840978652301,0.9805041590131864,0.011660243316335207,1.0,0.0,0.02,0.012247448713915891,42.296762466430664,0.35956509991082647,3162.21357421875,8.204477177664664
streamspot,mask,typed,0.9614,0.018152134860671337,0.9568173035955301,0.01191092123396016,0.9639736987778796,0.023809718372829334,0.95,0.0,0.036,0.025099800796022267,42.296762466430664,0.35956509991082647,3162.21357421875,8.204477177664664
streamspot,none,global,0.9892200000000001,0.016817907123063806,0.9852408011809818,0.004853438296625301,0.9709470046420361,0.009426936518803438,1.0,0.0,0.03,0.01,42.099580478668216,0.48518833102809644,3159.69404296875,9.2007894975422
streamspot,none,typed,0.9658200000000001,0.01204437628106991,0.9586804992744,0.007968744555983714,0.9676313391648442,0.01627846557199133,0.95,0.0,0.032,0.016431676725154984,42.099580478668216,0.48518833102809644,3159.69404296875,9.2007894975422
wget,gaussian,global,0.83392,0.039507366401723136,0.8176911696146497,0.03741271256602186,0.8392040487692661,0.07905260564772319,0.8,0.0,0.16,0.0894427190999916,52.04882278442383,0.47497570665717054,3758.66904296875,4.674981241137519
wget,gaussian,typed,0.8755200000000001,0.026031365696021436,0.8341758667060407,0.02556052872910905,0.9080943738656988,0.10409496342540081,0.784,0.0829457654133109,0.096,0.11523888232710347,52.04882278442383,0.47497570665717054,3758.66904296875,4.674981241137519
wget,mask,global,0.82656,0.05075557112278415,0.795573898876522,0.04685827743563825,0.7757748049052398,0.11559854736156369,0.8320000000000001,0.05215361924162118,0.272,0.21614809737770074,50.56872763633728,0.39049748327825395,3767.83388671875,0.7667975808060846
wget,mask,typed,0.8848,0.03217949657779,0.8509112329172112,0.03833259736523747,0.9156133721351113,0.07176672361097064,0.8,0.06324555320336761,0.08,0.07483314773547883,50.56872763633728,0.39049748327825395,3767.83388671875,0.7667975808060846
wget,none,global,0.84608,0.046817432650669746,0.8237811018854083,0.019287663059352377,0.8718715761736358,0.05861120038700721,0.784,0.03577708763999667,0.12000000000000002,0.06324555320336758,50.835071325302124,0.7891651782055564,3765.3857421875,0.7115505216492567
wget,none,typed,0.86144,0.026715688274869483,0.8232831548324413,0.024609951973952108,0.90315333789018,0.07671218840627513,0.76,0.02828427124746193,0.088,0.07694153624668539,50.835071325302124,0.7891651782055564,3765.3857421875,0.7115505216492567
