dataset,seed,corruption,edge_recon,pooling,iforest,auc,precision,recall,f1,fpr,tp,fp,tn,fn
streamspot,0,gaussian,False,global,100-auto-auto,0.9984999999999999,0.970873786407767,1.0,0.9852216748768473,0.03,100,3,97,0
streamspot,1,gaussian,False,global,100-auto-auto,0.9694999999999999,0.9615384615384616,1.0,0.9803921568627451,0.04,100,4,96,0
streamspot,2,gaussian,False,global,100-auto-auto,0.999,0.9803921568627451,1.0,0.9900990099009901,0.02,100,2,98,0
streamspot,3,gaussian,False,global,100-auto-auto,0.999,0.9803921568627451,1.0,0.9900990099009901,0.02,100,2,98,0
streamspot,4,gaussian,False,global,100-auto-auto,0.979,0.9615384615384616,1.0,0.9803921568627451,0.04,100,4,96,0
wget,0,mask,False,typed,100-auto-auto,0.9104,0.9130434782608695,0.84,0.875,0.08,21,2,23,4
wget,1,mask,False,typed,100-auto-auto,0.8960000000000001,0.8148148148148148,0.88,0.8461538461538461,0.2,22,5,20,3
wget,2,mask,False,typed,100-auto-auto,0.8448,0.75,0.84,0.7924528301886793,0.28,21,7,18,4
wget,3,mask,False,typed,100-auto-auto,0.9184,0.7666666666666667,0.92,0.8363636363636363,0.28,23,7,18,2
wget,4,mask,False,typed,100-auto-auto,0.8496,0.696969696969697,0.92,0.7931034482758621,0.4,23,10,15,2
trace,0,gaussian,False,node-level,200-auto-1.0,0.9964401612251188,0.9688020381150283,0.9997503157771054,0.9840329027734609,0.0035583202520693288,68069,2192,613829,17
trace,1,gaussian,False,node-level,200-auto-1.0,0.9963107035701356,0.9652839821314614,0.9997209411626472,0.9822007056226145,0.0039738905004861845,68067,2448,613573,19
trace,2,gaussian,False,node-level,200-auto-1.0,0.9965813461163097,0.9694897871976754,0.9996768792409599,0.9843519509443786,0.0034771541879254114,68064,2142,613879,22
trace,3,gaussian,False,node-level,200-auto-1.0,0.9952678136080692,0.9589226348115174,0.9997943776987928,0.9789320793246761,0.004733604860873249,68072,2916,613105,14
trace,4,gaussian,False,node-level,200-auto-1.0,0.9971227588241317,0.9712475563990239,0.9997062538554181,0.9852714468722633,0.003270992384999862,68066,2015,614006,20
