auc,precision,recall,f1,fpr,threshold,tp,fp,tn,fn,threshold_method,quantile,seed,n_estimators,max_samples,val_size,fit_size
0.995886899220852,0.964123845674466,0.9997796903915636,0.9816280914269232,0.0041118728095308,0.1039376388037954,68071,2533,613488,15,label-tuned upper bound,,0,200,1.0,100000,500000
0.995886899220852,0.8621191784637983,0.9999853126927708,0.9259485924112608,0.0176763454492622,0.0338605904311079,68085,10889,605132,1,benign-q0.99,0.99,0,200,1.0,100000,500000
0.995886899220852,0.9196363439872476,0.9998678142349382,0.9580753208736772,0.0096571383118432,0.0682376096276546,68077,5949,610072,9,benign-q0.995,0.995,0,200,1.0,100000,500000
0.995886899220852,0.9562010984843164,0.9997796903915636,0.9775049362771496,0.0050615157600146,0.0968453594522462,68071,3118,612903,15,benign-q0.9975,0.9975,0,200,1.0,100000,500000
0.995886899220852,0.0052585451358457,8.812384337455571e-05,0.0001733427708841,0.0018424696560669,0.1315475125384107,6,1135,614886,68080,benign-q0.999,0.999,0,200,1.0,100000,500000
0.9989205076311212,0.990165699239151,0.9996621919337308,0.994891284487484,0.0010973651872257,0.1450885106684374,68063,676,615345,23,label-tuned upper bound,,1,200,1.0,100000,500000
0.9989205076311212,0.8405328329279885,0.9999706253855418,0.9133458987034416,0.0209684410109395,0.0363555874019589,68084,12917,603104,2,benign-q0.99,0.99,1,200,1.0,100000,500000
0.9989205076311212,0.9117107465684632,0.9999412507710836,0.953789900603106,0.0107025572180169,0.0640205911878956,68082,6593,609428,4,benign-q0.995,0.995,1,200,1.0,100000,500000
0.9989205076311212,0.9544211869278112,0.9998531269277092,0.9766090680209162,0.0052774174906374,0.0957856276740696,68076,3251,612770,10,benign-q0.9975,0.9975,1,200,1.0,100000,500000
0.9989205076311212,0.985477659050763,0.9996621919337308,0.9925192487167522,0.0016281912467269,0.1359361733112196,68063,1003,615018,23,benign-q0.999,0.999,1,200,1.0,100000,500000
0.9977708951190724,0.9802266803001282,0.99967687924096,0.9898562422285726,0.0022288201213919,0.1183876958409225,68064,1373,614648,22,label-tuned upper bound,,2,200,1.0,100000,500000
0.9977708951190724,0.8487919814496223,0.9999853126927708,0.9182063385030343,0.0196892638400314,0.0318713519316689,68085,12129,603892,1,benign-q0.99,0.99,2,200,1.0,100000,500000
0.9977708951190724,0.9189794816414688,0.9998825015421672,0.9577254758521728,0.0097431743398358,0.0692125945127249,68078,6002,610019,8,benign-q0.995,0.995,2,200,1.0,100000,500000
0.9977708951190724,0.9642482789880732,0.9998237523132508,0.9817138242335092,0.0040972629179849,0.0994033544303174,68074,2524,613497,12,benign-q0.9975,0.9975,2,200,1.0,100000,500000
0.9977708951190724,0.0020833333333333,2.937461445818524e-05,5.793239289748864e-05,0.0015551417889974,0.1330675006359201,2,958,615063,68084,benign-q0.999,0.999,2,200,1.0,100000,500000
0.9963780956747535,0.9678804510102232,0.9997943776987928,0.9835786066740356,0.0036670827780221,0.0984675664813899,68072,2259,613762,14,label-tuned upper bound,,3,200,1.0,100000,500000
0.9963780956747535,0.8487284966342558,0.9999853126927708,0.91816919072728,0.0196990037677286,0.0261491331716055,68085,12135,603886,1,benign-q0.99,0.99,3,200,1.0,100000,500000
0.9963780956747535,0.9161037702844532,0.9999559380783128,0.9561950507008232,0.0101214081987464,0.0626361324923369,68083,6235,609786,3,benign-q0.995,0.995,3,200,1.0,100000,500000
0.9963780956747535,0.9564441571944418,0.9998090650060218,0.9776459690217508,0.0050322959769228,0.0910516240868428,68073,3100,612921,13,benign-q0.9975,0.9975,3,200,1.0,100000,500000
0.9963780956747535,0.0021008403361344,2.937461445818524e-05,5.7939105999594426e-05,0.0015421552187344,0.1318471051813037,2,950,615071,68084,benign-q0.999,0.999,3,200,1.0,100000,500000
0.9987980967226064,0.9892588770512056,0.9996475046265018,0.9944260594504956,0.001199634428047,0.1446521094236351,68062,739,615282,24,label-tuned upper bound,,4,200,1.0,100000,500000
0.9987980967226064,0.8275799197763462,0.9999853126927708,0.9056505892681368,0.0230268123976293,0.0354830226531198,68085,14185,601836,1,benign-q0.99,0.99,4,200,1.0,100000,500000
0.9987980967226064,0.9174336652876414,0.9999118761566256,0.9568987933348796,0.0099460895001956,0.0707554334466042,68080,6127,609894,6,benign-q0.995,0.995,4,200,1.0,100000,500000
0.9987980967226064,0.9582213088216665,0.9998090650060218,0.9785735335341093,0.0048180175675829,0.0991386392691737,68073,2968,613053,13,benign-q0.9975,0.9975,4,200,1.0,100000,500000
