threshold_method,n_estimators,max_samples,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std,tp_mean,tp_std,fp_mean,fp_std,tn_mean,tn_std,fn_mean,fn_std
label-tuned upper bound,500,1.0,0.9977365090777311,0.0013202284334394086,0.9796148014362824,0.011421097085790588,0.9996974414710806,5.650319907665368e-05,0.9895270802272742,0.005804752700560363,0.002311609506818761,0.0013168988176659585,68065.4,3.8470768123335835,1424.0,811.2373265574015,614597.0,811.2373265573999,20.6,3.8470768123342687
label-tuned upper bound,200,1.0,0.9975508988736811,0.0013805878420836458,0.9783311106550349,0.011980498892823314,0.9997121287783098,6.935768852989848e-05,0.9888760568535021,0.0060938952426499585,0.0024609550648435003,0.001386043577538471,68066.4,4.72228758124619,1516.0,853.8319506788206,614505.0,853.8319506788189,19.6,4.722287581247038
label-tuned upper bound,200,0.5,0.9969128987521865,0.0010858733694844563,0.9728525030187589,0.009342840151586776,0.9997356284698764,5.874922891639337e-05,0.9860925550819915,0.004760977807215527,0.0030917777153700926,0.0010845211342339707,68068.0,3.9999999999987494,1904.6,668.0877936319447,614116.4,668.0877936319426,18.0,3.9999999999999996
label-tuned upper bound,500,0.5,0.9966010093684325,0.0012966844291526292,0.9700635584380789,0.010797293448393724,0.9997473783156596,5.130055869509999e-05,0.9846572208053873,0.005536381357814284,0.0034213119357943966,0.0012667189023209701,68068.8,3.492849839315091,2107.6,780.3254449266665,613913.4,780.3254449266628,17.2,3.492849839314596
benign-q0.9975,500,1.0,0.9977365090777311,0.0013202284334394086,0.9608848903655153,0.0034380260016495154,0.9998090650060218,2.937461445819481e-05,0.9799580873958298,0.0017787906856213107,0.004499521931882192,0.0004103623278690912,68073.0,2.0,2771.8,252.7918115762455,613249.2,252.7918115762478,13.0,2.0
benign-q0.9975,200,1.0,0.9975508988736811,0.0013805878420836458,0.9579072060832619,0.003791817204746012,0.9998149399289135,2.6680818559802753e-05,0.9784094662174869,0.0019740970106299814,0.00485730194262852,0.0004549796286738383,68073.4,1.8165902124582947,2992.2,280.2770058352986,613028.8,280.2770058353076,12.6,1.816590212458495
benign-q0.995,500,0.5,0.9966010093684325,0.0012966844291526292,0.9255222095780713,0.002906207563100673,0.9998648767734923,1.9149905722760842e-05,0.9612563734252928,0.0015605782130966841,0.008893852644633868,0.0003759704610909974,68076.8,1.3038404810408089,5478.8,231.60569941173725,610542.2,231.60569941174504,9.2,1.3038404810405297
benign-q0.995,200,0.5,0.9969128987521865,0.0010858733694844563,0.925252213483437,0.004907801972023007,0.9998736891578298,3.5371719821368334e-05,0.9611112446173818,0.0026393378055738566,0.008930539705626917,0.0006365185373965151,68077.4,2.4083189157579303,5501.4,392.10878592553877,610519.6,392.1087859255397,8.6,2.4083189157584592
benign-q0.995,500,1.0,0.9977365090777311,0.0013202284334394086,0.917135141565978,0.00526257043080743,0.9999236260024087,4.0755623551123454e-05,0.9567354262671618,0.002866409301717833,0.009988620517807023,0.0006963673680868164,68080.8,2.7748873851027804,6153.2,428.9769224562086,609867.8,428.9769224561968,5.2,2.7748873851023217
benign-q0.995,200,1.0,0.9975508988736811,0.0013805878420836458,0.9167728015538549,0.003145554667547241,0.9999118761566255,3.744543308167962e-05,0.9565369082729317,0.0017009765398371855,0.01003407351372758,0.0004150124915395442,68080.0,2.5495097567963922,6181.2,255.65641005067715,609839.8,255.65641005068,6.0,2.5495097567963922
benign-q0.99,200,0.5,0.9969128987521865,0.0010858733694844563,0.8546892086173885,0.014487773021381288,0.9999735628469877,6.568363474136399e-06,0.9215879831057304,0.008485011007420287,0.018820786953691514,0.002226988255085909,68084.2,0.4472135954997546,11594.0,1371.871531886277,604427.0,1371.871531886277,1.8,0.4472135954999579
benign-q0.99,500,0.5,0.9966010093684325,0.0012966844291526292,0.8529636019773669,0.012784703623074925,0.9999735628469877,6.568363474136399e-06,0.9205955504559705,0.0074696489864022235,0.019075648395103412,0.0019555729793272456,68084.2,0.4472135954997546,11751.0,1204.6740222981484,604270.0,1204.6740222981462,1.8,0.4472135954999579
benign-q0.99,500,1.0,0.9977365090777311,0.0013202284334394086,0.8466099048487233,0.015161045197098802,0.999982375231325,6.568363474120883e-06,0.9168681058460113,0.008945607020620791,0.020058731764014535,0.0023678728789789734,68084.8,0.44721359550077144,12356.6,1458.6594187815056,603664.4,1458.6594187815135,1.2,0.4472135954999579
benign-q0.99,200,1.0,0.9975508988736811,0.0013805878420836458,0.8455504818504022,0.012681154393932324,0.999982375231325,6.568363474062957e-06,0.9162641219226307,0.007455762254890743,0.0202119732931182,0.001966045145797344,68084.8,0.44721359549873774,12451.0,1211.1250967592075,603570.0,1211.1250967592064,1.2,0.4472135954999579
