dataset,seed,bootstrap,f1_minus_magic_cited,fpr_minus_magic_cited,auc,precision,recall,f1,fpr,threshold,tp,fp,tn,fn
trace,0,0,-0.03491870502078809,0.008712928513232339,0.9898888192621258,0.916006146878033,0.9998234385345398,0.9560812949792119,0.010112928513232339,0.10229850107846272,67953,6231,609911,12
trace,0,1,-0.034292945402197406,0.008533361133331278,0.9900682543867622,0.917168409801242,0.9998082595870207,0.9567070545978026,0.009933361133331278,0.10229850107846272,67787,6122,610185,13
trace,0,2,-0.034369082606774404,0.008608183199760998,0.9899926489417769,0.9171015116466728,0.9997214525516412,0.9566309173932256,0.010008183199760998,0.10229850107846272,68192,6164,609732,19
trace,0,3,-0.03385463913912157,0.008505363185824613,0.9900965572448623,0.9179732673533604,0.9998096047100865,0.9571453608608784,0.009905363185824613,0.10229850107846272,68266,6100,609728,13
trace,0,4,-0.035017708597693376,0.008710499926982427,0.9898921922051964,0.9158371040723982,0.9998083076514738,0.9559822914023066,0.010110499926982427,0.10229850107846272,67804,6231,610059,13
trace,0,5,-0.03419595618266991,0.008626479523043682,0.9899750418690608,0.9173695343668835,0.9997811401140989,0.9568040438173301,0.010026479523043683,0.10229850107846272,68522,6172,609398,15
trace,0,6,-0.03564729825348012,0.00892779086588809,0.9896740271734475,0.9146689918840969,0.9998240366003871,0.9553527017465199,0.01032779086588809,0.10229850107846272,68184,6361,609550,12
trace,0,7,-0.03352110552055587,0.0083670229081968,0.9902349420317262,0.9186250912729534,0.9997645396750647,0.9574788944794441,0.009767022908196801,0.10229850107846272,67936,6018,610137,16
trace,0,8,-0.034373527920211866,0.008569440896616752,0.9900317498607664,0.9170447793442446,0.9997791649490607,0.9566264720797881,0.009969440896616753,0.10229850107846272,67909,6143,610040,15
trace,0,9,-0.034207320753128045,0.008565628485656347,0.9900351754904934,0.9173989691692797,0.999721366769321,0.956792679246872,0.009965628485656347,0.10229850107846272,68171,6138,609779,19
trace,0,10,-0.03394867728224327,0.008466814236125199,0.9901340571215056,0.9178011816080144,0.9998085419734904,0.9570513227177567,0.009866814236125199,0.10229850107846272,67887,6080,610127,13
trace,0,11,-0.03406696190823222,0.008552761326969888,0.9900483138058851,0.9176320387044752,0.9997510908079299,0.9569330380917678,0.009952761326969888,0.10229850107846272,68281,6129,609680,17
trace,0,12,-0.03541459246182732,0.008823043802147828,0.9897785408020591,0.9151455552112941,0.9997645327446651,0.9555854075381727,0.010223043802147828,0.10229850107846272,67934,6299,609858,16
trace,0,13,-0.03446055550874827,0.008618361313637538,0.9899831441105121,0.9169336384439359,0.9997211541283865,0.9565394444912517,0.010018361313637538,0.10229850107846272,68119,6171,609798,19
trace,0,14,-0.03508369051738136,0.00871177625281874,0.9898902906856952,0.9156791125541126,0.9998522829667489,0.9559163094826186,0.010111776252818741,0.10229850107846272,67687,6233,610177,10
trace,0,15,-0.033926911655008385,0.008476787682339134,0.9901248854258116,0.9178657236184974,0.9997794636556104,0.9570730883449916,0.009876787682339135,0.10229850107846272,68001,6085,610006,15
trace,0,16,-0.034304228945124526,0.008551072271853168,0.9900502893403074,0.917147451054573,0.9998085194131856,0.9566957710548755,0.009951072271853168,0.10229850107846272,67879,6132,610083,13
trace,0,17,-0.0345496662712923,0.008646237369145647,0.9899551754632826,0.9167451497457149,0.9997505685569658,0.9564503337287077,0.010046237369145648,0.10229850107846272,68138,6188,609764,17
trace,0,18,-0.03490729358666167,0.008760921854425067,0.9898410160737138,0.9159650324296016,0.9998973877862147,0.9560927064133383,0.010160921854425067,0.10229850107846272,68211,6258,609631,7
trace,0,19,-0.03435632957541079,0.008618364295004295,0.9899842495360917,0.9170632040218297,0.9997948357220318,0.9566436704245892,0.010018364295004295,0.10229850107846272,68224,6170,609699,14
trace,0,20,-0.033553788325058176,0.008419395864389384,0.9901804131075119,0.9186257754572001,0.9996924654023578,0.9574462116749418,0.009819395864389385,0.10229850107846272,68264,6047,609775,21
trace,0,21,-0.03386323322826612,0.008546038315719711,0.9900557930505475,0.9179200514759109,0.9998539826239322,0.9571367667717339,0.009946038315719712,0.10229850107846272,68475,6123,609499,10
trace,0,22,-0.03475449025877975,0.008659833207024195,0.9899414227456551,0.9163201943844492,0.9998085250537603,0.9562455097412202,0.010059833207024195,0.10229850107846272,67881,6199,610014,13
trace,0,23,-0.03390767200965672,0.00851378610511276,0.9900883375180803,0.9178141193889225,0.9998826927870728,0.9570923279903433,0.00991378610511276,0.10229850107846272,68189,6106,609804,8
trace,0,24,-0.034159936519132406,0.00850323936371322,0.9900975972952607,0.9174500547808091,0.9997641648487707,0.9568400634808676,0.00990323936371322,0.10229850107846272,67828,6103,610160,16
trace,0,25,-0.033915219367157246,0.008459276077582359,0.9901430945756029,0.9178998580985201,0.9997644842204427,0.9570847806328427,0.009859276077582359,0.10229850107846272,67920,6075,610096,16
trace,0,26,-0.03353079048339114,0.008349394009209112,0.990252666821744,0.9185330802603037,0.9998524224849102,0.9574692095166089,0.009749394009209112,0.10229850107846272,67751,6009,610337,10
trace,0,27,-0.03418177064085848,0.008642519452202579,0.989959721573723,0.9173585763373577,0.9998251340638844,0.9568182293591415,0.010042519452202579,0.10229850107846272,68612,6181,609302,12
trace,0,28,-0.034298707522304794,0.008549417169600969,0.9900522137147173,0.9171576045832883,0.9998085137722786,0.9567012924776952,0.009949417169600969,0.10229850107846272,67877,6131,610086,13
trace,0,29,-0.034832894957747995,0.00875347137637028,0.9898478007774272,0.9161874120249347,0.9997951928844157,0.956167105042252,0.01015347137637028,0.10229850107846272,68343,6252,609498,14
trace,0,30,-0.03450889554342085,0.008596478513251014,0.9900055157153991,0.9167961099479975,0.9997790543526293,0.9564911044565791,0.009996478513251014,0.10229850107846272,67875,6160,610057,15
trace,0,31,-0.03320183486238526,0.008287831142888207,0.9903148763213894,0.9191385615603413,0.9998526594960955,0.9577981651376147,0.009687831142888207,0.10229850107846272,67860,5970,610267,10
trace,0,32,-0.03403956897456528,0.008570554462874748,0.99003106950422,0.9176205364930691,0.9998245460128081,0.9569604310254347,0.009970554462874748,0.10229850107846272,68382,6139,609574,12
trace,0,33,-0.03421872015281757,0.008558309522572602,0.9900434639570531,0.917390543143038,0.9997064823375746,0.9567812798471824,0.009958309522572602,0.10229850107846272,68119,6134,609834,20
trace,0,34,-0.034326780329795636,0.008633781589033976,0.9899688812425909,0.9171294433266264,0.9997806600669717,0.9566732196702044,0.010033781589033976,0.10229850107846272,68372,6178,609542,15
trace,0,35,-0.03412962677899212,0.008583547529449597,0.99001759864172,0.9175165047501476,0.9997514401848115,0.9568703732210079,0.009983547529449598,0.10229850107846272,68377,6147,609566,17
trace,0,36,-0.034656697999449926,0.008621386313408471,0.9899794711286336,0.9165247479252832,0.9997788426096572,0.9563433020005501,0.010021386313408471,0.10229850107846272,67810,6176,610106,15
trace,0,37,-0.03479567157800334,0.008727416769911001,0.9898741589026736,0.9162560253501081,0.9997948838163331,0.9562043284219967,0.010127416769911001,0.10229850107846272,68240,6237,609616,14
trace,0,38,-0.034209311173266976,0.008523935428692913,0.9900784327226755,0.9173838442519962,0.9997349823321555,0.956790688826733,0.009923935428692913,0.10229850107846272,67902,6115,610072,18
trace,0,39,-0.03470740829944885,0.008585468605050956,0.9900155093056253,0.9164075758604304,0.9998074387877531,0.9562925917005511,0.009985468605050956,0.10229850107846272,67498,6157,610439,13
trace,0,40,-0.033809729865983296,0.008506762746024708,0.9900949981087266,0.9180680169773814,0.9997952198461223,0.9571902701340167,0.009906762746024709,0.10229850107846272,68352,6100,609641,14
trace,0,41,-0.03324092141679014,0.00840057702054661,0.9902014630738147,0.9190777031105388,0.9998394886985452,0.9577590785832099,0.00980057702054661,0.10229850107846272,68520,6033,609543,11
trace,0,42,-0.03486642148261487,0.008718900736392327,0.9898815289577448,0.9161633959675576,0.9997504806916088,0.9561335785173851,0.010118900736392327,0.10229850107846272,68114,6233,609743,17
trace,0,43,-0.03469636038813184,0.008704831743103773,0.9898957934091498,0.9164383929530562,0.99979491085947,0.9563036396118682,0.010104831743103773,0.10229850107846272,68249,6223,609621,14
trace,0,44,-0.03506511641040844,0.00870885965054592,0.9898939039281414,0.9157255501305165,0.9998375592539539,0.9559348835895916,0.01010885965054592,0.10229850107846272,67706,6231,610159,11
