dataset,seed,metric,mean,ci_low,ci_high
trace,0,f1,0.9567741927101271,0.955598562361796,0.9577437150407675
trace,0,fpr,0.009966167658119226,0.009746832558820426,0.010248137692948401
trace,0,f1_minus_magic_cited,-0.03422580728987283,-0.03540143763820402,-0.033256284959232545
trace,0,fpr_minus_magic_cited,0.008566167658119225,0.008346832558820426,0.0088481376929484
trace,1,f1,0.9825071804206107,0.9817121167336279,0.9830281378488577
trace,1,fpr,0.0039064654195264305,0.0037751409870846716,0.004086691849433084
trace,1,f1_minus_magic_cited,-0.008492819579389379,-0.009287883266372102,-0.007971862151142364
trace,1,fpr_minus_magic_cited,0.0025064654195264308,0.0023751409870846714,0.002686691849433083
trace,2,f1,0.9596513859976425,0.9585499074601254,0.9607582809615934
trace,2,fpr,0.009275192824481897,0.009011375786620427,0.009476578081759411
trace,2,f1_minus_magic_cited,-0.03134861400235727,-0.032450092539874645,-0.030241719038406507
trace,2,fpr_minus_magic_cited,0.007875192824481897,0.007611375786620426,0.008076578081759411
trace,3,f1,0.9569819313429572,0.9559769064402499,0.9580156667597596
trace,3,fpr,0.00991891092199003,0.009615998510840275,0.010147843336168574
trace,3,f1_minus_magic_cited,-0.034018068657042794,-0.035023093559750106,-0.03298433324024039
trace,3,fpr_minus_magic_cited,0.008518910921990032,0.008215998510840275,0.008747843336168574
trace,4,f1,0.9671529907686042,0.9662701652044241,0.9681051544794494
trace,4,fpr,0.0074842365306575865,0.007270471557907008,0.007727025388884645
trace,4,f1_minus_magic_cited,-0.02384700923139564,-0.024729834795575906,-0.022894845520550565
trace,4,fpr_minus_magic_cited,0.006084236530657585,0.005870471557907007,0.006327025388884645
