graph_construction,seed,auc,precision,recall,f1,fpr,threshold,tp,fp,tn,fn
cyclic-original,0,0.9060965844635317,0.5404615787676943,0.9998531269277091,0.7016516787343142,0.09396270581684715,0.1067799148278995,68076,57883,558138,10
cyclic-original,1,0.8926916382236674,0.5072831990939775,0.9999706253855418,0.6731026846400625,0.10734861311546197,0.08842307029503194,68084,66129,549892,2
cyclic-original,2,0.9440403017329005,0.6633571720872226,0.9999559380783127,0.7975984067478913,0.05608737364472964,0.10981298469691958,68083,34551,581470,3
cyclic-original,3,0.9497296915143008,0.687278527656911,0.9998678142349382,0.814615380013043,0.05028400005843957,0.11759384627109526,68077,30976,585045,9
cyclic-original,4,0.9360384880898696,0.6309541461244764,0.9999853126927709,0.7737195586213166,0.06464552344806428,0.10493855346896963,68085,39823,576198,1
first-seen-DAG,0,0.911878829183154,0.5538499486125386,0.989366389566137,0.7101538656166485,0.08808628277282755,0.03900054541385145,67362,54263,561758,724
first-seen-DAG,1,0.8918903635625178,0.5054342177547475,0.9999559380783127,0.671469712211768,0.10814404054407237,0.0267802486720784,68083,66619,549402,3
first-seen-DAG,2,0.9047911251331047,0.5346572374217206,0.989366389566137,0.6941780839563678,0.0951737034938744,0.04174181745304506,67362,58629,557392,724
first-seen-DAG,3,0.9072045345109119,0.5428796976293567,0.9999412507710836,0.7037081061526138,0.0930601391835668,0.03769516963153052,68082,57327,558694,4
first-seen-DAG,4,0.9281974198993329,0.6041109895431636,0.989366389566137,0.7501670453026861,0.0716598947113816,0.05804154053469923,67362,44144,571877,724
