dataset,seed,n_estimators,max_samples,contamination,auc,precision,recall,f1,fpr,threshold,tp,fp,tn,fn
wget,0,50,auto,auto,0.8752000000000001,0.9047619047619048,0.76,0.8260869565217391,0.08,0.013846195268731099,19,2,23,6
wget,0,50,auto,0.01,0.8752000000000001,0.9047619047619048,0.76,0.8260869565217391,0.08,-0.14022819389898522,19,2,23,6
wget,0,50,auto,0.05,0.8752000000000001,0.9047619047619048,0.76,0.8260869565217391,0.08,-0.010614978170254141,19,2,23,6
wget,0,50,auto,0.1,0.8752000000000001,0.9047619047619048,0.76,0.8260869565217391,0.08,0.00023348623958796555,19,2,23,6
wget,0,50,0.5,auto,0.8592,1.0,0.76,0.8636363636363636,0.0,0.05077848652680994,19,0,25,6
wget,0,50,0.5,0.01,0.8592,1.0,0.76,0.8636363636363636,0.0,-0.08398384005393733,19,0,25,6
wget,0,50,0.5,0.05,0.8592,1.0,0.76,0.8636363636363636,0.0,-0.010149544599700744,19,0,25,6
wget,0,50,0.5,0.1,0.8592,1.0,0.76,0.8636363636363636,0.0,0.01309876107441299,19,0,25,6
wget,0,50,1.0,auto,0.8752000000000001,0.9047619047619048,0.76,0.8260869565217391,0.08,0.013846195268731099,19,2,23,6
wget,0,50,1.0,0.01,0.8752000000000001,0.9047619047619048,0.76,0.8260869565217391,0.08,-0.14022819389898522,19,2,23,6
wget,0,50,1.0,0.05,0.8752000000000001,0.9047619047619048,0.76,0.8260869565217391,0.08,-0.010614978170254141,19,2,23,6
wget,0,50,1.0,0.1,0.8752000000000001,0.9047619047619048,0.76,0.8260869565217391,0.08,0.00023348623958796555,19,2,23,6
wget,0,100,auto,auto,0.9024000000000001,0.95,0.76,0.8444444444444444,0.04,0.009161713736517862,19,1,24,6
wget,0,100,auto,0.01,0.9024000000000001,0.95,0.76,0.8444444444444444,0.04,-0.12214027964479945,19,1,24,6
wget,0,100,auto,0.05,0.9024000000000001,0.95,0.76,0.8444444444444444,0.04,-0.021074952855691942,19,1,24,6
wget,0,100,auto,0.1,0.9024000000000001,0.95,0.76,0.8444444444444444,0.04,-0.009272637184982169,19,1,24,6
wget,0,100,0.5,auto,0.8688000000000001,1.0,0.76,0.8636363636363636,0.0,0.03733770755549748,19,0,25,6
wget,0,100,0.5,0.01,0.8688000000000001,1.0,0.76,0.8636363636363636,0.0,-0.09082344961369782,19,0,25,6
wget,0,100,0.5,0.05,0.8688000000000001,1.0,0.76,0.8636363636363636,0.0,-0.020484770325005952,19,0,25,6
wget,0,100,0.5,0.1,0.8688000000000001,1.0,0.76,0.8636363636363636,0.0,-0.0017430840677586934,19,0,25,6
wget,0,100,1.0,auto,0.9024000000000001,0.95,0.76,0.8444444444444444,0.04,0.009161713736517862,19,1,24,6
wget,0,100,1.0,0.01,0.9024000000000001,0.95,0.76,0.8444444444444444,0.04,-0.12214027964479945,19,1,24,6
wget,0,100,1.0,0.05,0.9024000000000001,0.95,0.76,0.8444444444444444,0.04,-0.021074952855691942,19,1,24,6
wget,0,100,1.0,0.1,0.9024000000000001,0.95,0.76,0.8444444444444444,0.04,-0.009272637184982169,19,1,24,6
wget,0,200,auto,auto,0.9008,0.9090909090909091,0.8,0.851063829787234,0.08,-0.0032304152500371996,20,2,23,5
wget,0,200,auto,0.01,0.9008,0.9090909090909091,0.8,0.851063829787234,0.08,-0.1386402482959308,20,2,23,5
wget,0,200,auto,0.05,0.9008,0.9090909090909091,0.8,0.851063829787234,0.08,-0.029214135587674495,20,2,23,5
wget,0,200,auto,0.1,0.9008,0.9090909090909091,0.8,0.851063829787234,0.08,-0.012011960198864635,20,2,23,5
wget,0,200,0.5,auto,0.8816,1.0,0.76,0.8636363636363636,0.0,0.035775018220423616,19,0,25,6
wget,0,200,0.5,0.01,0.8816,1.0,0.76,0.8636363636363636,0.0,-0.09470502486833021,19,0,25,6
wget,0,200,0.5,0.05,0.8816,1.0,0.76,0.8636363636363636,0.0,-0.0009087451441712746,19,0,25,6
wget,0,200,0.5,0.1,0.8816,1.0,0.76,0.8636363636363636,0.0,0.008625553704969535,19,0,25,6
wget,0,200,1.0,auto,0.9008,0.9090909090909091,0.8,0.851063829787234,0.08,-0.0032304152500371996,20,2,23,5
