variant,pooling,seed,fit_count,val_fraction,n_fit,n_val,n_test_benign,n_attack,scaler,pca_dim,detector,detector_params,threshold_method,quantile,auc,precision,recall,f1,fpr,threshold,tp,fp,tn,fn
gaussian_edge0,global,0,95,0.55,95,16,14,25,standard,24,iforest,n=200;max_samples=auto;max_features=0.75;bootstrap=False,benign-q0.78,0.78,0.9771428571428571,0.8620689655172413,1.0,0.9259259259259259,0.2857142857142857,-0.015817847085154234,25,4,10,0
gaussian_edge0,global,0,95,0.55,95,16,14,25,standard,24,iforest,n=200;max_samples=auto;max_features=0.75;bootstrap=False,benign-q0.8,0.8,0.9771428571428571,0.8620689655172413,1.0,0.9259259259259259,0.2857142857142857,-0.012604485256988651,25,4,10,0
gaussian_edge0,global,0,95,0.55,95,16,14,25,standard,24,iforest,n=200;max_samples=auto;max_features=0.75;bootstrap=False,benign-q0.82,0.82,0.9771428571428571,0.8571428571428571,0.96,0.9056603773584904,0.2857142857142857,-0.008850430755109192,24,4,10,1
gaussian_edge0,global,0,95,0.55,95,16,14,25,standard,24,iforest,n=200;max_samples=auto;max_features=0.75;bootstrap=False,benign-q0.85,0.85,0.9771428571428571,0.8571428571428571,0.96,0.9056603773584904,0.2857142857142857,-0.00321934900228997,24,4,10,1
gaussian_edge0,global,0,95,0.55,95,16,14,25,standard,24,iforest,n=200;max_samples=auto;max_features=0.75;bootstrap=False,benign-q0.88,0.88,0.9771428571428571,0.8571428571428571,0.96,0.9056603773584904,0.2857142857142857,0.00196999203462002,24,4,10,1
gaussian_edge0,global,0,95,0.55,95,16,14,25,standard,24,iforest,n=200;max_samples=auto;max_features=0.75;bootstrap=False,benign-q0.9,0.9,0.9771428571428571,0.8571428571428571,0.96,0.9056603773584904,0.2857142857142857,0.005061435462635683,24,4,10,1
gaussian_edge0,global,0,95,0.55,95,16,14,25,standard,24,iforest,n=200;max_samples=auto;max_features=1.0;bootstrap=False,benign-q0.78,0.78,0.9771428571428571,0.8620689655172413,1.0,0.9259259259259259,0.2857142857142857,-0.02344704053664959,25,4,10,0
gaussian_edge0,global,0,95,0.55,95,16,14,25,standard,24,iforest,n=200;max_samples=auto;max_features=1.0;bootstrap=False,benign-q0.8,0.8,0.9771428571428571,0.8620689655172413,1.0,0.9259259259259259,0.2857142857142857,-0.019907602935499202,25,4,10,0
gaussian_edge0,global,0,95,0.55,95,16,14,25,standard,24,iforest,n=200;max_samples=auto;max_features=1.0;bootstrap=False,benign-q0.82,0.82,0.9771428571428571,0.8571428571428571,0.96,0.9056603773584904,0.2857142857142857,-0.014155723627243776,24,4,10,1
gaussian_edge0,global,0,95,0.55,95,16,14,25,standard,24,iforest,n=200;max_samples=auto;max_features=1.0;bootstrap=False,benign-q0.85,0.85,0.9771428571428571,0.8571428571428571,0.96,0.9056603773584904,0.2857142857142857,-0.005527904664860583,24,4,10,1
