dataset,variant,corruption,edge_recon,max_epoch,seed,auc,precision,recall,f1,fpr,tp,fp,tn,fn
wget,gaussian_edge0,gaussian,False,10,0,0.8992,0.7857142857142857,0.88,0.8301886792452831,0.24,22,6,19,3
wget,gaussian_edge0,gaussian,False,10,1,0.8832000000000001,1.0,0.72,0.8372093023255814,0.0,18,0,25,7
wget,gaussian_edge0,gaussian,False,10,2,0.8336,0.9444444444444444,0.68,0.7906976744186046,0.04,17,1,24,8
wget,gaussian_edge0,gaussian,False,10,3,0.888,0.7666666666666667,0.92,0.8363636363636363,0.28,23,7,18,2
wget,gaussian_edge0,gaussian,False,10,4,0.8496,0.696969696969697,0.92,0.7931034482758621,0.4,23,10,15,2
wget,mask_edge1,mask,True,10,0,0.9392,0.9565217391304348,0.88,0.9166666666666666,0.04,22,1,24,3
wget,mask_edge1,mask,True,10,1,0.8736,0.95,0.76,0.8444444444444444,0.04,19,1,24,6
wget,mask_edge1,mask,True,10,2,0.8111999999999999,0.8947368421052632,0.68,0.7727272727272727,0.08,17,2,23,8
wget,mask_edge1,mask,True,10,3,0.9104000000000001,0.95,0.76,0.8444444444444444,0.04,19,1,24,6
wget,mask_edge1,mask,True,10,4,0.8464,0.8260869565217391,0.76,0.7916666666666666,0.16,19,4,21,6
wget,mask_edge0,mask,False,10,0,0.9024,0.9130434782608695,0.84,0.875,0.08,21,2,23,4
wget,mask_edge0,mask,False,10,1,0.9088,1.0,0.72,0.8372093023255814,0.0,18,0,25,7
wget,mask_edge0,mask,False,10,2,0.8575999999999999,0.75,0.84,0.7924528301886793,0.28,21,7,18,4
wget,mask_edge0,mask,False,10,3,0.912,0.875,0.84,0.8571428571428571,0.12,21,3,22,4
wget,mask_edge0,mask,False,10,4,0.8832,0.6857142857142857,0.96,0.8,0.44,24,11,14,1
wget,none_edge1,none,True,10,0,0.9056000000000001,0.9090909090909091,0.8,0.851063829787234,0.08,20,2,23,5
wget,none_edge1,none,True,10,1,0.864,1.0,0.68,0.8095238095238095,0.0,17,0,25,8
wget,none_edge1,none,True,10,2,0.8256,0.9,0.72,0.8,0.08,18,2,23,7
wget,none_edge1,none,True,10,3,0.9296,0.9166666666666666,0.88,0.8979591836734694,0.08,22,2,23,3
wget,none_edge1,none,True,10,4,0.864,0.8636363636363636,0.76,0.8085106382978723,0.12,19,3,22,6
wget,gaussian_edge0,gaussian,False,20,0,0.9136,0.8461538461538461,0.88,0.8627450980392157,0.16,22,4,21,3
wget,gaussian_edge0,gaussian,False,20,1,0.8976,0.8695652173913043,0.8,0.8333333333333334,0.12,20,3,22,5
wget,gaussian_edge0,gaussian,False,20,2,0.8352,0.8260869565217391,0.76,0.7916666666666666,0.16,19,4,21,6
wget,gaussian_edge0,gaussian,False,20,3,0.9056,0.8148148148148148,0.88,0.8461538461538461,0.2,22,5,20,3
wget,gaussian_edge0,gaussian,False,20,4,0.8608,0.6578947368421053,1.0,0.7936507936507936,0.52,25,13,12,0
wget,mask_edge1,mask,True,20,0,0.9296000000000001,0.9545454545454546,0.84,0.8936170212765957,0.04,21,1,24,4
wget,mask_edge1,mask,True,20,1,0.8832000000000001,0.9047619047619048,0.76,0.8260869565217391,0.08,19,2,23,6
wget,mask_edge1,mask,True,20,2,0.8448,0.8636363636363636,0.76,0.8085106382978723,0.12,19,3,22,6
wget,mask_edge1,mask,True,20,3,0.8832,0.9090909090909091,0.8,0.851063829787234,0.08,20,2,23,5
wget,mask_edge1,mask,True,20,4,0.8416,0.6410256410256411,1.0,0.78125,0.56,25,14,11,0
wget,mask_edge0,mask,False,20,0,0.9007999999999999,0.8148148148148148,0.88,0.8461538461538461,0.2,22,5,20,3
wget,mask_edge0,mask,False,20,1,0.9008,0.7666666666666667,0.92,0.8363636363636363,0.28,23,7,18,2
wget,mask_edge0,mask,False,20,2,0.8191999999999999,0.7916666666666666,0.76,0.7755102040816326,0.2,19,5,20,6
wget,mask_edge0,mask,False,20,3,0.9424,0.88,0.88,0.88,0.12,22,3,22,3
wget,mask_edge0,mask,False,20,4,0.8576,0.7058823529411765,0.96,0.8135593220338984,0.4,24,10,15,1
wget,none_edge1,none,True,20,0,0.8912,0.95,0.76,0.8444444444444444,0.04,19,1,24,6
wget,none_edge1,none,True,20,1,0.8495999999999999,0.8260869565217391,0.76,0.7916666666666666,0.16,19,4,21,6
wget,none_edge1,none,True,20,2,0.8448,0.7777777777777778,0.84,0.8076923076923077,0.24,21,6,19,4
wget,none_edge1,none,True,20,3,0.9184,0.9090909090909091,0.8,0.851063829787234,0.08,20,2,23,5
wget,none_edge1,none,True,20,4,0.8608,0.8636363636363636,0.76,0.8085106382978723,0.12,19,3,22,6
