variant,seed,n_estimators,max_samples,contamination,auc,precision,recall,f1,fpr,threshold,tp,fp,tn,fn
gaussian_edge0,0,100,auto,auto,0.9264,0.8846153846153846,0.92,0.9019607843137255,0.12,-0.01370371768593559,23,3,22,2
gaussian_edge0,0,100,auto,0.01,0.9264,0.8846153846153846,0.92,0.9019607843137255,0.12,-0.16807995793001507,23,3,22,2
gaussian_edge0,0,100,auto,0.05,0.9264,0.8846153846153846,0.92,0.9019607843137255,0.12,-0.03657529221107403,23,3,22,2
gaussian_edge0,0,100,auto,0.1,0.9264,0.8846153846153846,0.92,0.9019607843137255,0.12,-0.01726425012268562,23,3,22,2
gaussian_edge0,0,100,0.5,auto,0.896,0.9090909090909091,0.8,0.851063829787234,0.08,0.01324768923157782,20,2,23,5
gaussian_edge0,0,100,0.5,0.01,0.896,0.9090909090909091,0.8,0.851063829787234,0.08,-0.1490115088980124,20,2,23,5
gaussian_edge0,0,100,0.5,0.05,0.896,0.9090909090909091,0.8,0.851063829787234,0.08,-0.02716040204332426,20,2,23,5
gaussian_edge0,0,100,0.5,0.1,0.896,0.9090909090909091,0.8,0.851063829787234,0.08,-0.011869760213969793,20,2,23,5
gaussian_edge0,0,100,1.0,auto,0.9264,0.8846153846153846,0.92,0.9019607843137255,0.12,-0.01370371768593559,23,3,22,2
gaussian_edge0,0,100,1.0,0.01,0.9264,0.8846153846153846,0.92,0.9019607843137255,0.12,-0.16807995793001507,23,3,22,2
gaussian_edge0,0,100,1.0,0.05,0.9264,0.8846153846153846,0.92,0.9019607843137255,0.12,-0.03657529221107403,23,3,22,2
gaussian_edge0,0,100,1.0,0.1,0.9264,0.8846153846153846,0.92,0.9019607843137255,0.12,-0.01726425012268562,23,3,22,2
gaussian_edge0,0,200,auto,auto,0.9216,0.8518518518518519,0.92,0.8846153846153846,0.16,-0.01362552674893952,23,4,21,2
gaussian_edge0,0,200,auto,0.01,0.9216,0.8518518518518519,0.92,0.8846153846153846,0.16,-0.15580948064493721,23,4,21,2
gaussian_edge0,0,200,auto,0.05,0.9216,0.8518518518518519,0.92,0.8846153846153846,0.16,-0.0357761949160042,23,4,21,2
gaussian_edge0,0,200,auto,0.1,0.9216,0.8518518518518519,0.92,0.8846153846153846,0.16,-0.016194692415981427,23,4,21,2
gaussian_edge0,0,200,0.5,auto,0.8992,0.84,0.84,0.84,0.16,0.01046832139255749,21,4,21,4
gaussian_edge0,0,200,0.5,0.01,0.8992,0.84,0.84,0.84,0.16,-0.13907142960860874,21,4,21,4
gaussian_edge0,0,200,0.5,0.05,0.8992,0.84,0.84,0.84,0.16,-0.02652436508095246,21,4,21,4
gaussian_edge0,0,200,0.5,0.1,0.8992,0.84,0.84,0.84,0.16,-0.013376865587052755,21,4,21,4
gaussian_edge0,0,200,1.0,auto,0.9216,0.8518518518518519,0.92,0.8846153846153846,0.16,-0.01362552674893952,23,4,21,2
gaussian_edge0,0,200,1.0,0.01,0.9216,0.8518518518518519,0.92,0.8846153846153846,0.16,-0.15580948064493721,23,4,21,2
gaussian_edge0,0,200,1.0,0.05,0.9216,0.8518518518518519,0.92,0.8846153846153846,0.16,-0.0357761949160042,23,4,21,2
gaussian_edge0,0,200,1.0,0.1,0.9216,0.8518518518518519,0.92,0.8846153846153846,0.16,-0.016194692415981427,23,4,21,2
gaussian_edge0,0,500,auto,auto,0.9152,0.8461538461538461,0.88,0.8627450980392157,0.16,-0.007662218406497223,22,4,21,3
gaussian_edge0,0,500,auto,0.01,0.9152,0.8461538461538461,0.88,0.8627450980392157,0.16,-0.14871895047289946,22,4,21,3
gaussian_edge0,0,500,auto,0.05,0.9152,0.8461538461538461,0.88,0.8627450980392157,0.16,-0.03335393393658165,22,4,21,3
gaussian_edge0,0,500,auto,0.1,0.9152,0.8461538461538461,0.88,0.8627450980392157,0.16,-0.012859759057051778,22,4,21,3
gaussian_edge0,0,500,0.5,auto,0.8959999999999999,0.84,0.84,0.84,0.16,0.007675216424890108,21,4,21,4
gaussian_edge0,0,500,0.5,0.01,0.8959999999999999,0.84,0.84,0.84,0.16,-0.14804456383948839,21,4,21,4
gaussian_edge0,0,500,0.5,0.05,0.8959999999999999,0.84,0.84,0.84,0.16,-0.03379499177613021,21,4,21,4
gaussian_edge0,0,500,0.5,0.1,0.8959999999999999,0.84,0.84,0.84,0.16,-0.016959348333011826,21,4,21,4
gaussian_edge0,0,500,1.0,auto,0.9152,0.8461538461538461,0.88,0.8627450980392157,0.16,-0.007662218406497223,22,4,21,3
gaussian_edge0,0,500,1.0,0.01,0.9152,0.8461538461538461,0.88,0.8627450980392157,0.16,-0.14871895047289946,22,4,21,3
gaussian_edge0,0,500,1.0,0.05,0.9152,0.8461538461538461,0.88,0.8627450980392157,0.16,-0.03335393393658165,22,4,21,3
gaussian_edge0,0,500,1.0,0.1,0.9152,0.8461538461538461,0.88,0.8627450980392157,0.16,-0.012859759057051778,22,4,21,3
gaussian_edge0,1,100,auto,auto,0.8944,0.95,0.76,0.8444444444444444,0.04,0.016507145526669875,19,1,24,6
gaussian_edge0,1,100,auto,0.01,0.8944,0.95,0.76,0.8444444444444444,0.04,-0.1280575695311399,19,1,24,6
gaussian_edge0,1,100,auto,0.05,0.8944,0.95,0.76,0.8444444444444444,0.04,-0.0191529652662068,19,1,24,6
gaussian_edge0,1,100,auto,0.1,0.8944,0.95,0.76,0.8444444444444444,0.04,0.004592980063566343,19,1,24,6
gaussian_edge0,1,100,0.5,auto,0.8672,0.9473684210526315,0.72,0.8181818181818182,0.04,0.04461220419730594,18,1,24,7
gaussian_edge0,1,100,0.5,0.01,0.8672,0.9473684210526315,0.72,0.8181818181818182,0.04,-0.0976846912954974,18,1,24,7
gaussian_edge0,1,100,0.5,0.05,0.8672,0.9473684210526315,0.72,0.8181818181818182,0.04,-0.013141931606392654,18,1,24,7
gaussian_edge0,1,100,0.5,0.1,0.8672,0.9473684210526315,0.72,0.8181818181818182,0.04,0.008176657151390598,18,1,24,7
gaussian_edge0,1,100,1.0,auto,0.8944,0.95,0.76,0.8444444444444444,0.04,0.016507145526669875,19,1,24,6
gaussian_edge0,1,100,1.0,0.01,0.8944,0.95,0.76,0.8444444444444444,0.04,-0.1280575695311399,19,1,24,6
gaussian_edge0,1,100,1.0,0.05,0.8944,0.95,0.76,0.8444444444444444,0.04,-0.0191529652662068,19,1,24,6
gaussian_edge0,1,100,1.0,0.1,0.8944,0.95,0.76,0.8444444444444444,0.04,0.004592980063566343,19,1,24,6
gaussian_edge0,1,200,auto,auto,0.8832,0.7419354838709677,0.92,0.8214285714285714,0.32,-0.01674383174683247,23,8,17,2
gaussian_edge0,1,200,auto,0.01,0.8832,0.7419354838709677,0.92,0.8214285714285714,0.32,-0.1609776990716426,23,8,17,2
gaussian_edge0,1,200,auto,0.05,0.8832,0.7419354838709677,0.92,0.8214285714285714,0.32,-0.0489742273560938,23,8,17,2
gaussian_edge0,1,200,auto,0.1,0.8832,0.7419354838709677,0.92,0.8214285714285714,0.32,-0.043503645648137246,23,8,17,2
gaussian_edge0,1,200,0.5,auto,0.8672,0.9473684210526315,0.72,0.8181818181818182,0.04,0.04312519819736471,18,1,24,7
